Year,UNIT_MEASURE,Тип,Value
a)Јануар,Број,Расположиво за финалну потрошњу 2019,1241
b)Фебруар,Број,Расположиво за финалну потрошњу 2019,1031
c)Март,Број,Расположиво за финалну потрошњу 2019,1066
d)Април,Број,Расположиво за финалну потрошњу 2019,993
e)Мај,Број,Расположиво за финалну потрошњу 2019,1002
f)Јуни,Број,Расположиво за финалну потрошњу 2019,"965,807"
g)Јули,Број,Расположиво за финалну потрошњу 2019,946
h)Август,Број,Расположиво за финалну потрошњу 2019,944
a)Јануар,Број,Расположиво за финалну потрошњу 2020,1137
b)Фебруар,Број,Расположиво за финалну потрошњу 2020,976
c)Март,Број,Расположиво за финалну потрошњу 2020,931
d)Април,Број,Расположиво за финалну потрошњу 2020,828
e)Мај,Број,Расположиво за финалну потрошњу 2020,808
f)Јуни,Број,Расположиво за финалну потрошњу 2020,812
g)Јули,Број,Расположиво за финалну потрошњу 2020,890
h)Август,Број,Расположиво за финалну потрошњу 2020,848
