Year,SERIES,UNIT_MEASURE,Привредна активност,Value
2010,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,13.7
2011,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,15.58
2012,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,17.36
2013,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,16.42
2014,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,17.48
2015,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,18.65
2016,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,18.2
2017,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,18.61
2018,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,19.54
2019,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,18.31
2020,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,18.67
2021,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,16.59
2022,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,19.54
2023,Удио додате вриједности средње и високотехнолошке производње у односу на укупну додатну вриједност,Проценат,Производња,21.54
