Year,SERIES,UNIT_MEASURE,Value
2018,Опсег употребе државних оквира резултата и алата за планирање од стране пружалаца развојне сарадње - подаци према примаоцу (%),Проценат,33.86
2018,Удио циљева пројекта у новим развојним интервенцијама извучени из оквира резултата које води држава – подаци према примаоцима (%),Проценат,53.42
2018,Удио показатеља резултата извучених из оквира резултата које воде земље - подаци према примаоцу (%),Проценат,22.9
2018,Удио индикатора резултата који ће се пратити помоћу државних извора и система праћења - подаци по примаоцу (%),Проценат,25.25
