Year,Value,UNIT_MEASURE,SERIES
2011,13.93,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2015,7.28,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2017,6.5,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2018,6.9,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2019,7.61,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2020,7.27,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2021,6.94,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2022,7.84,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2023,7.37,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
2024,7.03,Procenat,Prosječni troškovi doznake pri slanju 200 dolara zemlji primaocu kao procenat iznosa doznake (%)
