Year,Value,UNIT_MEASURE,SERIES
2006,0.3961,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2007,0.33975,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2008,0.93754,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2009,0.93586,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2010,1.32635,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2011,1.5511,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2012,1.71408,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2013,2.24878,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2014,2.05798,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2015,2.36296,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2016,1.89325,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2017,3.04527,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2018,4.39657,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2019,5.6153,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2020,3.68735,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
2021,3.4715,Američki dolar,"Ukupni zvanični tokovi stipendija, prema zemljama primaocima (milioni američkih dolara konstanta 2021.)"
