Year,Value,UNIT_MEASURE,SERIES
2010,-1.15,Index,Indeks potrošačkih cijena hrane
2011,0.5,Index,Indeks potrošačkih cijena hrane
2012,-0.13,Index,Indeks potrošačkih cijena hrane
2013,-0.42,Index,Indeks potrošačkih cijena hrane
2014,-0.55,Index,Indeks potrošačkih cijena hrane
2015,0.09,Index,Indeks potrošačkih cijena hrane
2016,0.04,Index,Indeks potrošačkih cijena hrane
2017,0.42,Index,Indeks potrošačkih cijena hrane
2018,-0.61,Index,Indeks potrošačkih cijena hrane
2019,0.4,Index,Indeks potrošačkih cijena hrane
2020,1.27,Index,Indeks potrošačkih cijena hrane
2021,0.84,Index,Indeks potrošačkih cijena hrane
2022,2.91,Index,Indeks potrošačkih cijena hrane
2023,0.93,Index,Indeks potrošačkih cijena hrane
