Year,Value,UNIT_MEASURE,SERIES
2018,1,Broj,Zemlje s nacionalnim statističkim planovima koji su u potpunosti finansirani (1= DA; 0 = NE)
2018,1,Broj,Zemlje s nacionalnim statističkim planovima koji su u provedbi (1 = DA; 0 = NE)
2018,1,Broj,Zemlje s nacionalnim statističkim planovima koje finansira država (1 = DA; 0 = NE)
2018,1,Broj,Zemlje s nacionalnim statističkim planovima koje finansiraju donatori (1 = DA; 0 = NE)
