Year,SERIES,UNIT_MEASURE,Value
2000,SH_ACS_DTP3,PT,85
2001,SH_ACS_DTP3,PT,91
2002,SH_ACS_DTP3,PT,80
2003,SH_ACS_DTP3,PT,87
2004,SH_ACS_DTP3,PT,84
2005,SH_ACS_DTP3,PT,93
2006,SH_ACS_DTP3,PT,87
2007,SH_ACS_DTP3,PT,95
2008,SH_ACS_DTP3,PT,91
2009,SH_ACS_DTP3,PT,90
2010,SH_ACS_DTP3,PT,89
2011,SH_ACS_DTP3,PT,88
2012,SH_ACS_DTP3,PT,92
2013,SH_ACS_DTP3,PT,89
2014,SH_ACS_DTP3,PT,86
2015,SH_ACS_DTP3,PT,82
2016,SH_ACS_DTP3,PT,78
2017,SH_ACS_DTP3,PT,75
2018,SH_ACS_DTP3,PT,73
2019,SH_ACS_DTP3,PT,73
2020,SH_ACS_DTP3,PT,72
2021,SH_ACS_DTP3,PT,76
2022,SH_ACS_DTP3,PT,75
2023,SH_ACS_DTP3,PT,73
2024,SH_ACS_DTP3,PT,79
2000,SH_ACS_MCV2,PT,74
2001,SH_ACS_MCV2,PT,86
2002,SH_ACS_MCV2,PT,90
2003,SH_ACS_MCV2,PT,85
2004,SH_ACS_MCV2,PT,88
2005,SH_ACS_MCV2,PT,90
2006,SH_ACS_MCV2,PT,93
2007,SH_ACS_MCV2,PT,95
2008,SH_ACS_MCV2,PT,92
2009,SH_ACS_MCV2,PT,88
2010,SH_ACS_MCV2,PT,91
2011,SH_ACS_MCV2,PT,88
2012,SH_ACS_MCV2,PT,94
2013,SH_ACS_MCV2,PT,93
2014,SH_ACS_MCV2,PT,92
2015,SH_ACS_MCV2,PT,88
2016,SH_ACS_MCV2,PT,78
2017,SH_ACS_MCV2,PT,80
2018,SH_ACS_MCV2,PT,76
2019,SH_ACS_MCV2,PT,68
2020,SH_ACS_MCV2,PT,60
2021,SH_ACS_MCV2,PT,63
2022,SH_ACS_MCV2,PT,60
2023,SH_ACS_MCV2,PT,63
2024,SH_ACS_MCV2,PT,71
2008,SH_ACS_PCV3,PT,
2009,SH_ACS_PCV3,PT,
2010,SH_ACS_PCV3,PT,
2011,SH_ACS_PCV3,PT,
2012,SH_ACS_PCV3,PT,
2013,SH_ACS_PCV3,PT,
2014,SH_ACS_PCV3,PT,
2015,SH_ACS_PCV3,PT,
2016,SH_ACS_PCV3,PT,
2017,SH_ACS_PCV3,PT,
2018,SH_ACS_PCV3,PT,
2019,SH_ACS_PCV3,PT,
2023,SH_ACS_PCV3,PT,5
2024,SH_ACS_PCV3,PT,9
