Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.03
2001,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.10
2002,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.10
2003,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.08
2004,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.08
2005,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.07
2006,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.06
2007,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.06
2008,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.05
2009,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.09
2010,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.07
2012,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.04
2018,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.06
2019,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.04
2020,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.08
2021,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.03
2022,SP_DYN_ADKL,PER_1000_POP,Y10T14,F,0.11
2000,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,16.60
2001,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,17.40
2002,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,18.70
2003,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,17.40
2004,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,17.20
2005,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,16.50
2006,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,16.40
2007,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,15.20
2008,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,15.80
2009,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,14.80
2010,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,13.50
2011,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,12.20
2012,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,12.30
2013,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,11.00
2014,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,10.70
2018,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,10.11
2019,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.89
2020,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.40
2021,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,9.34
2022,SP_DYN_ADKL,PER_1000_POP,Y15T19,F,8.52
