Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,EG_EGY_CLEAN,PT,_T,53.8
2000,EG_EGY_CLEAN,PT,R,33.0
2000,EG_EGY_CLEAN,PT,U,81.8
2001,EG_EGY_CLEAN,PT,_T,52.7
2001,EG_EGY_CLEAN,PT,R,31.9
2001,EG_EGY_CLEAN,PT,U,80.1
2002,EG_EGY_CLEAN,PT,_T,51.6
2002,EG_EGY_CLEAN,PT,R,30.4
2002,EG_EGY_CLEAN,PT,U,79.3
2003,EG_EGY_CLEAN,PT,_T,51.0
2003,EG_EGY_CLEAN,PT,R,29.15
2003,EG_EGY_CLEAN,PT,U,78.1
2004,EG_EGY_CLEAN,PT,_T,50.0
2004,EG_EGY_CLEAN,PT,R,27.8
2004,EG_EGY_CLEAN,PT,U,76.7
2005,EG_EGY_CLEAN,PT,_T,49.1
2005,EG_EGY_CLEAN,PT,R,26.4
2005,EG_EGY_CLEAN,PT,U,75.3
2006,EG_EGY_CLEAN,PT,_T,47.7
2006,EG_EGY_CLEAN,PT,R,25.5
2006,EG_EGY_CLEAN,PT,U,74.1
2007,EG_EGY_CLEAN,PT,_T,46.6
2007,EG_EGY_CLEAN,PT,R,23.9
2007,EG_EGY_CLEAN,PT,U,72.7
2008,EG_EGY_CLEAN,PT,_T,46.3
2008,EG_EGY_CLEAN,PT,R,22.8
2008,EG_EGY_CLEAN,PT,U,71.3
2009,EG_EGY_CLEAN,PT,_T,45.2
2009,EG_EGY_CLEAN,PT,R,21.7
2009,EG_EGY_CLEAN,PT,U,69.8
2010,EG_EGY_CLEAN,PT,_T,44.9
2010,EG_EGY_CLEAN,PT,R,20.7
2010,EG_EGY_CLEAN,PT,U,68.4
2011,EG_EGY_CLEAN,PT,_T,43.3
2011,EG_EGY_CLEAN,PT,R,19.8
2011,EG_EGY_CLEAN,PT,U,67.3
2012,EG_EGY_CLEAN,PT,_T,43.0
2012,EG_EGY_CLEAN,PT,R,18.6
2012,EG_EGY_CLEAN,PT,U,66.0
2013,EG_EGY_CLEAN,PT,_T,42.7
2013,EG_EGY_CLEAN,PT,R,18.0
2013,EG_EGY_CLEAN,PT,U,65.2
2014,EG_EGY_CLEAN,PT,_T,42.1
2014,EG_EGY_CLEAN,PT,R,17.1
2014,EG_EGY_CLEAN,PT,U,64.4
2015,EG_EGY_CLEAN,PT,_T,41.7
2015,EG_EGY_CLEAN,PT,R,16.2
2015,EG_EGY_CLEAN,PT,U,63.4
2016,EG_EGY_CLEAN,PT,_T,41.6
2016,EG_EGY_CLEAN,PT,R,15.5
2016,EG_EGY_CLEAN,PT,U,62.6
2017,EG_EGY_CLEAN,PT,_T,41.3
2017,EG_EGY_CLEAN,PT,R,14.7
2017,EG_EGY_CLEAN,PT,U,61.8
2018,EG_EGY_CLEAN,PT,_T,40.8
2018,EG_EGY_CLEAN,PT,R,14.3
2018,EG_EGY_CLEAN,PT,U,61.1
2019,EG_EGY_CLEAN,PT,_T,40.3
2019,EG_EGY_CLEAN,PT,R,13.5
2019,EG_EGY_CLEAN,PT,U,60.2
2020,EG_EGY_CLEAN,PT,_T,40.2
2020,EG_EGY_CLEAN,PT,R,13.4
2020,EG_EGY_CLEAN,PT,U,59.6
2021,EG_EGY_CLEAN,PT,_T,39.9
2021,EG_EGY_CLEAN,PT,R,12.2
2021,EG_EGY_CLEAN,PT,U,57.95
2022,EG_EGY_CLEAN,PT,_T,39.3
2022,EG_EGY_CLEAN,PT,R,11.5
2022,EG_EGY_CLEAN,PT,U,57.4
2023,EG_EGY_CLEAN,PT,_T,39.5
2023,EG_EGY_CLEAN,PT,R,10.95
2023,EG_EGY_CLEAN,PT,U,57.0
