Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2005,TM_TAX_WMFN,PT,AGG_AGR,15.79221
2010,TM_TAX_WMFN,PT,AGG_AGR,16.30277
2015,TM_TAX_WMFN,PT,AGG_AGR,15.82199
2016,TM_TAX_WMFN,PT,AGG_AGR,15.3037
2017,TM_TAX_WMFN,PT,AGG_AGR,15.00477
2018,TM_TAX_WMFN,PT,AGG_AGR,15.10976
2019,TM_TAX_WMFN,PT,AGG_AGR,16.01302
2020,TM_TAX_WMFN,PT,AGG_AGR,15.70981
2021,TM_TAX_WMFN,PT,AGG_AGR,16.51239
2005,TM_TAX_WMFN,PT,_T,7.91315
2010,TM_TAX_WMFN,PT,_T,7.54494
2015,TM_TAX_WMFN,PT,_T,7.88609
2016,TM_TAX_WMFN,PT,_T,7.67387
2017,TM_TAX_WMFN,PT,_T,7.75035
2018,TM_TAX_WMFN,PT,_T,8.00909
2019,TM_TAX_WMFN,PT,_T,7.73552
2020,TM_TAX_WMFN,PT,_T,8.41333
2021,TM_TAX_WMFN,PT,_T,7.97562
2005,TM_TAX_WMFN,PT,AGG_ARMS,14.28337
2019,TM_TAX_WMFN,PT,AGG_ARMS,9.8403
2020,TM_TAX_WMFN,PT,AGG_ARMS,11.63443
2021,TM_TAX_WMFN,PT,AGG_ARMS,11.76048
2005,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2010,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2015,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2016,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2017,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2018,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2019,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2020,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2021,TM_TAX_WMFN,PT,AGG_CLTH,15.00
2005,TM_TAX_WMFN,PT,AGG_IND,6.0594
2010,TM_TAX_WMFN,PT,AGG_IND,5.6095
2015,TM_TAX_WMFN,PT,AGG_IND,5.9615
2016,TM_TAX_WMFN,PT,AGG_IND,5.7965
2017,TM_TAX_WMFN,PT,AGG_IND,6.0263
2018,TM_TAX_WMFN,PT,AGG_IND,6.0270
2019,TM_TAX_WMFN,PT,AGG_IND,5.6410
2020,TM_TAX_WMFN,PT,AGG_IND,6.3567
2021,TM_TAX_WMFN,PT,AGG_IND,5.8073
2005,TM_TAX_WMFN,PT,AGG_OIL,0.00
2010,TM_TAX_WMFN,PT,AGG_OIL,0.00
2015,TM_TAX_WMFN,PT,AGG_OIL,0.00
2016,TM_TAX_WMFN,PT,AGG_OIL,0.00
2017,TM_TAX_WMFN,PT,AGG_OIL,0.00
2018,TM_TAX_WMFN,PT,AGG_OIL,0.00
2019,TM_TAX_WMFN,PT,AGG_OIL,0.00
2020,TM_TAX_WMFN,PT,AGG_OIL,0.00
2021,TM_TAX_WMFN,PT,AGG_OIL,0.00
2005,TM_TAX_WMFN,PT,AGG_TXT,10.1987
2010,TM_TAX_WMFN,PT,AGG_TXT,9.5043
2015,TM_TAX_WMFN,PT,AGG_TXT,9.2258
2016,TM_TAX_WMFN,PT,AGG_TXT,9.2170
2017,TM_TAX_WMFN,PT,AGG_TXT,9.2486
2018,TM_TAX_WMFN,PT,AGG_TXT,9.2486
2019,TM_TAX_WMFN,PT,AGG_TXT,9.5292
2020,TM_TAX_WMFN,PT,AGG_TXT,9.5745
2021,TM_TAX_WMFN,PT,AGG_TXT,9.6882
2005,TM_TAX_WMPS,PT,AGG_AGR,6.0797
2010,TM_TAX_WMPS,PT,AGG_AGR,3.4821
2015,TM_TAX_WMPS,PT,AGG_AGR,2.1827
2016,TM_TAX_WMPS,PT,AGG_AGR,2.1422
2017,TM_TAX_WMPS,PT,AGG_AGR,2.3214
2018,TM_TAX_WMPS,PT,AGG_AGR,2.4105
2019,TM_TAX_WMPS,PT,AGG_AGR,2.2068
2020,TM_TAX_WMPS,PT,AGG_AGR,2.1796
2021,TM_TAX_WMPS,PT,AGG_AGR,2.2691
2005,TM_TAX_WMPS,PT,_T,2.3314
2010,TM_TAX_WMPS,PT,_T,1.7838
2015,TM_TAX_WMPS,PT,_T,1.3230
2016,TM_TAX_WMPS,PT,_T,1.3079
2017,TM_TAX_WMPS,PT,_T,1.3212
2018,TM_TAX_WMPS,PT,_T,1.3784
2019,TM_TAX_WMPS,PT,_T,1.4047
2020,TM_TAX_WMPS,PT,_T,1.4634
2021,TM_TAX_WMPS,PT,_T,1.7175
2005,TM_TAX_WMPS,PT,AGG_ARMS,4.9468
2019,TM_TAX_WMPS,PT,AGG_ARMS,0.6097
2020,TM_TAX_WMPS,PT,AGG_ARMS,1.7941
2021,TM_TAX_WMPS,PT,AGG_ARMS,2.0527
2005,TM_TAX_WMPS,PT,AGG_CLTH,6.7385
2010,TM_TAX_WMPS,PT,AGG_CLTH,7.9450
2015,TM_TAX_WMPS,PT,AGG_CLTH,6.9181
2016,TM_TAX_WMPS,PT,AGG_CLTH,6.9181
2017,TM_TAX_WMPS,PT,AGG_CLTH,7.0286
2018,TM_TAX_WMPS,PT,AGG_CLTH,7.0286
2019,TM_TAX_WMPS,PT,AGG_CLTH,6.4306
2020,TM_TAX_WMPS,PT,AGG_CLTH,5.9718
2021,TM_TAX_WMPS,PT,AGG_CLTH,7.0816
2005,TM_TAX_WMPS,PT,AGG_IND,1.4504
2010,TM_TAX_WMPS,PT,AGG_IND,1.2943
2015,TM_TAX_WMPS,PT,AGG_IND,0.9845
2016,TM_TAX_WMPS,PT,AGG_IND,0.9755
2017,TM_TAX_WMPS,PT,AGG_IND,0.9357
2018,TM_TAX_WMPS,PT,AGG_IND,0.9357
2019,TM_TAX_WMPS,PT,AGG_IND,1.0344
2020,TM_TAX_WMPS,PT,AGG_IND,1.0781
2021,TM_TAX_WMPS,PT,AGG_IND,1.3546
2005,TM_TAX_WMPS,PT,AGG_OIL,0.00
2010,TM_TAX_WMPS,PT,AGG_OIL,0.00
2015,TM_TAX_WMPS,PT,AGG_OIL,0.00
2016,TM_TAX_WMPS,PT,AGG_OIL,0.00
2017,TM_TAX_WMPS,PT,AGG_OIL,0.00
2018,TM_TAX_WMPS,PT,AGG_OIL,0.00
2019,TM_TAX_WMPS,PT,AGG_OIL,0.00
2020,TM_TAX_WMPS,PT,AGG_OIL,0.00
2021,TM_TAX_WMPS,PT,AGG_OIL,0.00
2005,TM_TAX_WMPS,PT,AGG_TXT,2.4615
2010,TM_TAX_WMPS,PT,AGG_TXT,2.5779
2015,TM_TAX_WMPS,PT,AGG_TXT,1.7332
2016,TM_TAX_WMPS,PT,AGG_TXT,1.7074
2017,TM_TAX_WMPS,PT,AGG_TXT,1.7783
2018,TM_TAX_WMPS,PT,AGG_TXT,1.7783
2019,TM_TAX_WMPS,PT,AGG_TXT,2.0361
2020,TM_TAX_WMPS,PT,AGG_TXT,2.2915
2021,TM_TAX_WMPS,PT,AGG_TXT,2.9717
