Year,SERIES,UNIT_MEASURE,SEX,Value
2009,SI_COV_PENSN,PT,_T,29.6
2019,SI_COV_PENSN,PT,_T,69.5
2019,SI_COV_PENSN,PT,F,41.3
2019,SI_COV_PENSN,PT,M,100.0
2020,SI_COV_PENSN,PT,_T,75.3
2020,SI_COV_PENSN,PT,F,43.8
2020,SI_COV_PENSN,PT,M,100.0
2001,SI_COV_UEMP,PT,_T,1.2
2005,SI_COV_UEMP,PT,_T,1.6
2008,SI_COV_UEMP,PT,_T,1.6
2009,SI_COV_UEMP,PT,_T,2.4
2010,SI_COV_UEMP,PT,_T,2.6
2011,SI_COV_UEMP,PT,_T,2.05
2012,SI_COV_UEMP,PT,_T,2.12
2013,SI_COV_UEMP,PT,_T,2.49
2014,SI_COV_UEMP,PT,_T,2.43
2015,SI_COV_UEMP,PT,_T,2.32
2016,SI_COV_UEMP,PT,_T,2.51
2017,SI_COV_UEMP,PT,_T,2.78
2018,SI_COV_UEMP,PT,_T,2.76
2019,SI_COV_UEMP,PT,_T,3.16
2020,SI_COV_UEMP,PT,_T,4.38
2021,SI_COV_UEMP,PT,_T,4.06
2022,SI_COV_UEMP,PT,_T,3.85
2023,SI_COV_UEMP,PT,_T,4.20
2024,SI_COV_UEMP,PT,_T,4.68
2007,SI_COV_LMKT,PT,,2.03118
2007,SI_COV_SOCAST,PT,,20.50947
2015,SI_COV_SOCAST,PT,,17.4175
2007,SI_COV_SOCINS,PT,,41.52379
2015,SI_COV_SOCINS,PT,,40.16296
2020,SI_COV_DISAB,PT,_T,100
2019,SI_COV_DISAB,PT,_T,100
2019,SI_COV_DISAB,PT,F,100
2020,SI_COV_DISAB,PT,F,100
2019,SI_COV_DISAB,PT,M,100
2020,SI_COV_DISAB,PT,M,100
2021,SI_COV_BENFTS,PT,_T,54.5
2019,SI_COV_MATNL,PT,F,100.0
2020,SI_COV_MATNL,PT,F,100.0
2021,SI_COV_MATNL,PT,F,100.0
2020,SI_COV_POOR,PT,_T,2.6
2021,SI_COV_CHLD,PT,_T,14.6
2021,SI_COV_VULN,PT,_T,14.7
