Year,UNIT_MEASURE,Type,Value
1-2019 2020 jan,IX,total,-2.0
2-2019 2020 feb,IX,total,-2.8
3-2019 2020 mar,IX,total,-12.6
4-2019 2020 apr,IX,total,-29.5
5-2019 2020 may,IX,total,-24.5
6-2019 2020 june,IX,total,-18.2
7-2019 2020 july,IX,total,-10.1
8-2019 2020 aug,IX,total,-0.4
9-2019 2020 sept,IX,total,-1.3
1-2019 2020 jan,IX,intermediate goods,-4.0
2-2019 2020 feb,IX,intermediate goods,-4.6
3-2019 2020 mar,IX,intermediate goods,-14.3
4-2019 2020 apr,IX,intermediate goods,-26.7
5-2019 2020 may,IX,intermediate goods,-19.2
6-2019 2020 june,IX,intermediate goods,-20.1
7-2019 2020 july,IX,intermediate goods,-7.9
8-2019 2020 aug,IX,intermediate goods,1.2
9-2019 2020 sept,IX,intermediate goods,-4.9
1-2019 2020 jan,IX,energy,-43.6
2-2019 2020 feb,IX,energy,-37.6
3-2019 2020 mar,IX,energy,-32.5
4-2019 2020 apr,IX,energy,-49.8
5-2019 2020 may,IX,energy,-52.5
6-2019 2020 june,IX,energy,-53.0
7-2019 2020 july,IX,energy,-57.7
8-2019 2020 aug,IX,energy,-5.7
9-2019 2020 sept,IX,energy,-13.5
1-2019 2020 jan,IX,capital goods,3.1
2-2019 2020 feb,IX,capital goods,1.1
3-2019 2020 mar,IX,capital goods,-27.1
4-2019 2020 apr,IX,capital goods,-41.1
5-2019 2020 may,IX,capital goods,-39.2
6-2019 2020 june,IX,capital goods,-37.6
7-2019 2020 july,IX,capital goods,-3.3
8-2019 2020 aug,IX,capital goods,15.9
9-2019 2020 sept,IX,capital goods,10.8
1-2019 2020 jan,IX,consumer durables,-2.0
2-2019 2020 feb,IX,consumer durables,2.1
3-2019 2020 mar,IX,consumer durables,-24.9
4-2019 2020 apr,IX,consumer durables,-51.6
5-2019 2020 may,IX,consumer durables,-30.2
6-2019 2020 june,IX,consumer durables,3.8
7-2019 2020 july,IX,consumer durables,3.8
8-2019 2020 aug,IX,consumer durables,6.5
9-2019 2020 sept,IX,consumer durables,14.9
1-2019 2020 jan,IX,consumer non-durables,12.1
2-2019 2020 feb,IX,consumer non-durables,8.7
3-2019 2020 mar,IX,consumer non-durables,6.5
4-2019 2020 apr,IX,consumer non-durables,-17.3
5-2019 2020 may,IX,consumer non-durables,-14.4
6-2019 2020 june,IX,consumer non-durables,1.9
7-2019 2020 july,IX,consumer non-durables,-2.8
8-2019 2020 aug,IX,consumer non-durables,-8.9
9-2019 2020 sept,IX,consumer non-durables,0.9
