Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2006,SL_TLF_NEET,PT,_T,Y15T24,34.7
2007,SL_TLF_NEET,PT,_T,Y15T24,31.3
2008,SL_TLF_NEET,PT,_T,Y15T24,26.4
2009,SL_TLF_NEET,PT,_T,Y15T24,25.5
2010,SL_TLF_NEET,PT,_T,Y15T24,28.3
2011,SL_TLF_NEET,PT,_T,Y15T24,27.8
2012,SL_TLF_NEET,PT,_T,Y15T24,28.5
2013,SL_TLF_NEET,PT,_T,Y15T24,26.0
2014,SL_TLF_NEET,PT,_T,Y15T24,26.3
2015,SL_TLF_NEET,PT,_T,Y15T24,28.1
2016,SL_TLF_NEET,PT,_T,Y15T24,27.0
2017,SL_TLF_NEET,PT,_T,Y15T24,24.5
2018,SL_TLF_NEET,PT,_T,Y15T24,22.1
2019,SL_TLF_NEET,PT,_T,Y15T24,21.2
2020,SL_TLF_NEET,PT,_T,Y15T24,21.8
2021,SL_TLF_NEET,PT,_T,Y15T24,19.3
2006,SL_TLF_NEET,PT,F,Y15T24,35.3
2007,SL_TLF_NEET,PT,F,Y15T24,31.5
2008,SL_TLF_NEET,PT,F,Y15T24,27.9
2009,SL_TLF_NEET,PT,F,Y15T24,25.8
2010,SL_TLF_NEET,PT,F,Y15T24,28.2
2011,SL_TLF_NEET,PT,F,Y15T24,26.4
2012,SL_TLF_NEET,PT,F,Y15T24,26.4
2013,SL_TLF_NEET,PT,F,Y15T24,24.4
2014,SL_TLF_NEET,PT,F,Y15T24,24.4
2015,SL_TLF_NEET,PT,F,Y15T24,26.4
2016,SL_TLF_NEET,PT,F,Y15T24,25.2
2017,SL_TLF_NEET,PT,F,Y15T24,24.3
2018,SL_TLF_NEET,PT,F,Y15T24,21.7
2019,SL_TLF_NEET,PT,F,Y15T24,21.7
2020,SL_TLF_NEET,PT,F,Y15T24,23.3
2021,SL_TLF_NEET,PT,F,Y15T24,19.9
2006,SL_TLF_NEET,PT,M,Y15T24,34.0
2007,SL_TLF_NEET,PT,M,Y15T24,31.1
2008,SL_TLF_NEET,PT,M,Y15T24,25.0
2009,SL_TLF_NEET,PT,M,Y15T24,25.3
2010,SL_TLF_NEET,PT,M,Y15T24,28.4
2011,SL_TLF_NEET,PT,M,Y15T24,29.0
2012,SL_TLF_NEET,PT,M,Y15T24,30.6
2013,SL_TLF_NEET,PT,M,Y15T24,27.6
2014,SL_TLF_NEET,PT,M,Y15T24,27.9
2015,SL_TLF_NEET,PT,M,Y15T24,29.7
2016,SL_TLF_NEET,PT,M,Y15T24,28.5
2017,SL_TLF_NEET,PT,M,Y15T24,24.7
2018,SL_TLF_NEET,PT,M,Y15T24,22.6
2019,SL_TLF_NEET,PT,M,Y15T24,20.8
2020,SL_TLF_NEET,PT,M,Y15T24,20.4
2021,SL_TLF_NEET,PT,M,Y15T24,18.8
