Year,SERIES,UNIT_MEASURE,SEX,Value
2000,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,2.37
2001,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.95
2002,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,2.14
2004,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.64
2007,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.65
2008,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.67
2009,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.83
2010,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.47
2011,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.36
2012,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.71
2013,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.27
2014,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.40
2015,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.62
2016,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.29
2017,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.22
2018,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.15
2019,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.25
2020,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.31
2021,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,0.98
2022,VC_IHR_PSRC,PER_100000_POP,BOTHSEX,1.09
2000,VC_IHR_PSRC,PER_100000_POP,F,0.93
2001,VC_IHR_PSRC,PER_100000_POP,F,1.35
2002,VC_IHR_PSRC,PER_100000_POP,F,1.16
2009,VC_IHR_PSRC,PER_100000_POP,F,0.76
2010,VC_IHR_PSRC,PER_100000_POP,F,0.51
2011,VC_IHR_PSRC,PER_100000_POP,F,0.83
2012,VC_IHR_PSRC,PER_100000_POP,F,1.28
2013,VC_IHR_PSRC,PER_100000_POP,F,0.76
2014,VC_IHR_PSRC,PER_100000_POP,F,0.60
2015,VC_IHR_PSRC,PER_100000_POP,F,1.00
2016,VC_IHR_PSRC,PER_100000_POP,F,0.85
2017,VC_IHR_PSRC,PER_100000_POP,F,0.57
2018,VC_IHR_PSRC,PER_100000_POP,F,0.46
2019,VC_IHR_PSRC,PER_100000_POP,F,0.59
2020,VC_IHR_PSRC,PER_100000_POP,F,0.30
2021,VC_IHR_PSRC,PER_100000_POP,F,0.42
2022,VC_IHR_PSRC,PER_100000_POP,F,0.71
2000,VC_IHR_PSRC,PER_100000_POP,M,3.88
2001,VC_IHR_PSRC,PER_100000_POP,M,2.59
2002,VC_IHR_PSRC,PER_100000_POP,M,3.17
2009,VC_IHR_PSRC,PER_100000_POP,M,2.96
2010,VC_IHR_PSRC,PER_100000_POP,M,2.47
2011,VC_IHR_PSRC,PER_100000_POP,M,1.92
2012,VC_IHR_PSRC,PER_100000_POP,M,1.81
2013,VC_IHR_PSRC,PER_100000_POP,M,1.84
2014,VC_IHR_PSRC,PER_100000_POP,M,2.23
2015,VC_IHR_PSRC,PER_100000_POP,M,2.26
2016,VC_IHR_PSRC,PER_100000_POP,M,1.76
2017,VC_IHR_PSRC,PER_100000_POP,M,1.90
2018,VC_IHR_PSRC,PER_100000_POP,M,1.86
2019,VC_IHR_PSRC,PER_100000_POP,M,1.94
2020,VC_IHR_PSRC,PER_100000_POP,M,2.33
2021,VC_IHR_PSRC,PER_100000_POP,M,1.55
2022,VC_IHR_PSRC,PER_100000_POP,M,1.44
2000,VC_IHR_PSRCN,NUMBER,BOTHSEX,99
2001,VC_IHR_PSRCN,NUMBER,BOTHSEX,82
2002,VC_IHR_PSRCN,NUMBER,BOTHSEX,90
2004,VC_IHR_PSRCN,NUMBER,BOTHSEX,68
2007,VC_IHR_PSRCN,NUMBER,BOTHSEX,66
2008,VC_IHR_PSRCN,NUMBER,BOTHSEX,66
2009,VC_IHR_PSRCN,NUMBER,BOTHSEX,71
2010,VC_IHR_PSRCN,NUMBER,BOTHSEX,56
2011,VC_IHR_PSRCN,NUMBER,BOTHSEX,51
2012,VC_IHR_PSRCN,NUMBER,BOTHSEX,63
2013,VC_IHR_PSRCN,NUMBER,BOTHSEX,46
2014,VC_IHR_PSRCN,NUMBER,BOTHSEX,50
2015,VC_IHR_PSRCN,NUMBER,BOTHSEX,57
2016,VC_IHR_PSRCN,NUMBER,BOTHSEX,45
2017,VC_IHR_PSRCN,NUMBER,BOTHSEX,42
2018,VC_IHR_PSRCN,NUMBER,BOTHSEX,39
2019,VC_IHR_PSRCN,NUMBER,BOTHSEX,42
2020,VC_IHR_PSRCN,NUMBER,BOTHSEX,43
2021,VC_IHR_PSRCN,NUMBER,BOTHSEX,32
2022,VC_IHR_PSRCN,NUMBER,BOTHSEX,35
2000,VC_IHR_PSRCN,NUMBER,F,20
2001,VC_IHR_PSRCN,NUMBER,F,29
2002,VC_IHR_PSRCN,NUMBER,F,25
2009,VC_IHR_PSRCN,NUMBER,F,15
2010,VC_IHR_PSRCN,NUMBER,F,10
2011,VC_IHR_PSRCN,NUMBER,F,16
2012,VC_IHR_PSRCN,NUMBER,F,24
2013,VC_IHR_PSRCN,NUMBER,F,14
2014,VC_IHR_PSRCN,NUMBER,F,11
2015,VC_IHR_PSRCN,NUMBER,F,18
2016,VC_IHR_PSRCN,NUMBER,F,15
2017,VC_IHR_PSRCN,NUMBER,F,10
2018,VC_IHR_PSRCN,NUMBER,F,8
2019,VC_IHR_PSRCN,NUMBER,F,10
2020,VC_IHR_PSRCN,NUMBER,F,5
2021,VC_IHR_PSRCN,NUMBER,F,7
2022,VC_IHR_PSRCN,NUMBER,F,12
2000,VC_IHR_PSRCN,NUMBER,M,79
2001,VC_IHR_PSRCN,NUMBER,M,53
2002,VC_IHR_PSRCN,NUMBER,M,65
2009,VC_IHR_PSRCN,NUMBER,M,56
2010,VC_IHR_PSRCN,NUMBER,M,46
2011,VC_IHR_PSRCN,NUMBER,M,35
2012,VC_IHR_PSRCN,NUMBER,M,39
2013,VC_IHR_PSRCN,NUMBER,M,32
2014,VC_IHR_PSRCN,NUMBER,M,39
2015,VC_IHR_PSRCN,NUMBER,M,39
2016,VC_IHR_PSRCN,NUMBER,M,30
2017,VC_IHR_PSRCN,NUMBER,M,32
2018,VC_IHR_PSRCN,NUMBER,M,31
2019,VC_IHR_PSRCN,NUMBER,M,32
2020,VC_IHR_PSRCN,NUMBER,M,38
2021,VC_IHR_PSRCN,NUMBER,M,25
2022,VC_IHR_PSRCN,NUMBER,M,22
