Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_POISN,PER_100000_POP,_T,0.7
2005,SH_STA_POISN,PER_100000_POP,_T,0.5
2010,SH_STA_POISN,PER_100000_POP,_T,0.4
2015,SH_STA_POISN,PER_100000_POP,_T,0.4
2019,SH_STA_POISN,PER_100000_POP,_T,0.4
2000,SH_STA_POISN,PER_100000_POP,F,0.4
2005,SH_STA_POISN,PER_100000_POP,F,0.3
2010,SH_STA_POISN,PER_100000_POP,F,0.3
2015,SH_STA_POISN,PER_100000_POP,F,0.3
2019,SH_STA_POISN,PER_100000_POP,F,0.3
2000,SH_STA_POISN,PER_100000_POP,M,1.0
2005,SH_STA_POISN,PER_100000_POP,M,0.6
2010,SH_STA_POISN,PER_100000_POP,M,0.5
2015,SH_STA_POISN,PER_100000_POP,M,0.5
2019,SH_STA_POISN,PER_100000_POP,M,0.5
