Year,SERIES,UNIT_MEASURE,AGE,Value
2009,SL_EMP_GTOTL,PT,Y_GE15,56.7
2010,SL_EMP_GTOTL,PT,Y_GE15,55.9
2011,SL_EMP_GTOTL,PT,Y_GE15,55.9
2012,SL_EMP_GTOTL,PT,Y_GE15,57.7
2013,SL_EMP_GTOTL,PT,Y_GE15,56.4
2014,SL_EMP_GTOTL,PT,Y_GE15,55.4
2015,SL_EMP_GTOTL,PT,Y_GE15,55.1
2016,SL_EMP_GTOTL,PT,Y_GE15,53.6
2017,SL_EMP_GTOTL,PT,Y_GE15,53.1
2018,SL_EMP_GTOTL,PT,Y_GE15,51.5
2019,SL_EMP_GTOTL,PT,Y_GE15,52.8
2020,SL_EMP_GTOTL,PT,Y_GE15,54.4
2021,SL_EMP_GTOTL,PT,Y_GE15,52.3
2022,SL_EMP_GTOTL,PT,Y_GE15,54.6
2023,SL_EMP_GTOTL,PT,Y_GE15,54.5
2024,SL_EMP_GTOTL,PT,Y_GE15,54.4
