Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2014,SH_SAN_DEFECT,PT,_T,0
2015,SH_SAN_DEFECT,PT,_T,0
2016,SH_SAN_DEFECT,PT,_T,0
2017,SH_SAN_DEFECT,PT,_T,0
2018,SH_SAN_DEFECT,PT,_T,0
2014,SH_SAN_DEFECT,PT,R,0
2015,SH_SAN_DEFECT,PT,R,0
2016,SH_SAN_DEFECT,PT,R,0
2017,SH_SAN_DEFECT,PT,R,0
2018,SH_SAN_DEFECT,PT,R,0
2014,SH_SAN_DEFECT,PT,U,0
2015,SH_SAN_DEFECT,PT,U,0
2016,SH_SAN_DEFECT,PT,U,0
2017,SH_SAN_DEFECT,PT,U,0
2018,SH_SAN_DEFECT,PT,U,0
2019,SH_SAN_DEFECT,PT,U,0
2020,SH_SAN_DEFECT,PT,U,0
2021,SH_SAN_DEFECT,PT,U,0
2014,SH_SAN_SAFE,PT,_T,41
2015,SH_SAN_SAFE,PT,_T,44
2016,SH_SAN_SAFE,PT,_T,48
2017,SH_SAN_SAFE,PT,_T,51
2018,SH_SAN_SAFE,PT,_T,55
2014,SH_SAN_SAFE,PT,U,24
2015,SH_SAN_SAFE,PT,U,28
2016,SH_SAN_SAFE,PT,U,33
2017,SH_SAN_SAFE,PT,U,38
2018,SH_SAN_SAFE,PT,U,43
2019,SH_SAN_SAFE,PT,U,48
2020,SH_SAN_SAFE,PT,U,53
2021,SH_SAN_SAFE,PT,U,58
2014,SH_SAN_HNDWSH,PT,_T,97
2015,SH_SAN_HNDWSH,PT,_T,97
2016,SH_SAN_HNDWSH,PT,_T,97
2014,SH_SAN_HNDWSH,PT,R,96
2015,SH_SAN_HNDWSH,PT,R,96
2016,SH_SAN_HNDWSH,PT,R,96
2014,SH_SAN_HNDWSH,PT,U,99
2015,SH_SAN_HNDWSH,PT,U,99
2016,SH_SAN_HNDWSH,PT,U,99
