Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2015,NV_IND_SSIS,PT,ISIC4_C,15.22
2016,NV_IND_SSIS,PT,ISIC4_C,15.07
2017,NV_IND_SSIS,PT,ISIC4_C,11.79
2018,NV_IND_SSIS,PT,ISIC4_C,11.39
2019,NV_IND_SSIS,PT,ISIC4_C,11.13
2020,NV_IND_SSIS,PT,ISIC4_C,11.57
2021,NV_IND_SSIS,PT,ISIC4_C,10.03
2022,NV_IND_SSIS,PT,ISIC4_C,10.95
2023,NV_IND_SSIS,PT,ISIC4_C,12.25
2015,NV_IND_SSIS_NC,PT,ISIC4_C,15.22
2016,NV_IND_SSIS_NC,PT,ISIC4_C,15.07
2017,NV_IND_SSIS_NC,PT,ISIC4_C,11.79
2018,NV_IND_SSIS_NC,PT,ISIC4_C,11.39
2019,NV_IND_SSIS_NC,PT,ISIC4_C,11.13
2020,NV_IND_SSIS_NC,PT,ISIC4_C,11.57
2021,NV_IND_SSIS_NC,PT,ISIC4_C,10.03
2022,NV_IND_SSIS_NC,PT,ISIC4_C,10.95
2023,NV_IND_SSIS_NC,PT,ISIC4_C,12.25


