Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_STA_ANEM,PT,Y15T49,F,22.3
2001,SH_STA_ANEM,PT,Y15T49,F,22.1
2002,SH_STA_ANEM,PT,Y15T49,F,21.9
2003,SH_STA_ANEM,PT,Y15T49,F,21.9
2004,SH_STA_ANEM,PT,Y15T49,F,21.9
2005,SH_STA_ANEM,PT,Y15T49,F,21.9
2006,SH_STA_ANEM,PT,Y15T49,F,21.9
2007,SH_STA_ANEM,PT,Y15T49,F,21.9
2008,SH_STA_ANEM,PT,Y15T49,F,21.9
2009,SH_STA_ANEM,PT,Y15T49,F,21.9
2010,SH_STA_ANEM,PT,Y15T49,F,21.9
2011,SH_STA_ANEM,PT,Y15T49,F,22.0
2012,SH_STA_ANEM,PT,Y15T49,F,22.1
2013,SH_STA_ANEM,PT,Y15T49,F,22.2
2014,SH_STA_ANEM,PT,Y15T49,F,22.4
2015,SH_STA_ANEM,PT,Y15T49,F,22.6
2016,SH_STA_ANEM,PT,Y15T49,F,22.8
2017,SH_STA_ANEM,PT,Y15T49,F,23.1
2018,SH_STA_ANEM,PT,Y15T49,F,23.4
2019,SH_STA_ANEM,PT,Y15T49,F,23.7
2020,SH_STA_ANEM,PT,Y15T49,F,24.1
2021,SH_STA_ANEM,PT,Y15T49,F,24.7
2022,SH_STA_ANEM,PT,Y15T49,F,25.3
2023,SH_STA_ANEM,PT,Y15T49,F,26.0
2000,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.1
2001,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.9
2002,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.8
2003,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.7
2004,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.7
2005,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.7
2006,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.8
2007,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.6
2008,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.7
2009,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.8
2010,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.8
2011,SH_STA_ANEM_NPRG,PT,Y15T49,F,21.9
2012,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.0
2013,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.1
2014,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.3
2015,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.5
2016,SH_STA_ANEM_NPRG,PT,Y15T49,F,22.8
2017,SH_STA_ANEM_NPRG,PT,Y15T49,F,23.0
2018,SH_STA_ANEM_NPRG,PT,Y15T49,F,23.3
2019,SH_STA_ANEM_NPRG,PT,Y15T49,F,23.7
2020,SH_STA_ANEM_NPRG,PT,Y15T49,F,24.1
2021,SH_STA_ANEM_NPRG,PT,Y15T49,F,24.6
2022,SH_STA_ANEM_NPRG,PT,Y15T49,F,25.3
2023,SH_STA_ANEM_NPRG,PT,Y15T49,F,26.0
2000,SH_STA_ANEM_PREG,PT,Y15T49,F,30.9
2001,SH_STA_ANEM_PREG,PT,Y15T49,F,30.4
2002,SH_STA_ANEM_PREG,PT,Y15T49,F,29.9
2003,SH_STA_ANEM_PREG,PT,Y15T49,F,29.5
2004,SH_STA_ANEM_PREG,PT,Y15T49,F,29.1
2005,SH_STA_ANEM_PREG,PT,Y15T49,F,28.7
2006,SH_STA_ANEM_PREG,PT,Y15T49,F,28.3
2007,SH_STA_ANEM_PREG,PT,Y15T49,F,27.9
2008,SH_STA_ANEM_PREG,PT,Y15T49,F,27.6
2009,SH_STA_ANEM_PREG,PT,Y15T49,F,27.3
2010,SH_STA_ANEM_PREG,PT,Y15T49,F,27.0
2011,SH_STA_ANEM_PREG,PT,Y15T49,F,26.8
2012,SH_STA_ANEM_PREG,PT,Y15T49,F,26.6
2013,SH_STA_ANEM_PREG,PT,Y15T49,F,26.5
2014,SH_STA_ANEM_PREG,PT,Y15T49,F,26.4
2015,SH_STA_ANEM_PREG,PT,Y15T49,F,26.3
2016,SH_STA_ANEM_PREG,PT,Y15T49,F,26.2
2017,SH_STA_ANEM_PREG,PT,Y15T49,F,26.1
2018,SH_STA_ANEM_PREG,PT,Y15T49,F,26.1
2019,SH_STA_ANEM_PREG,PT,Y15T49,F,26.0
2020,SH_STA_ANEM_PREG,PT,Y15T49,F,26.0
2021,SH_STA_ANEM_PREG,PT,Y15T49,F,26.0
2022,SH_STA_ANEM_PREG,PT,Y15T49,F,26.0
2023,SH_STA_ANEM_PREG,PT,Y15T49,F,26.0
