Year,SERIES,UNIT_MEASURE,AGE,Value
2000,SL_EMP_PCAP,PT,15+,4.8
2001,SL_EMP_PCAP,PT,15+,2.4
2002,SL_EMP_PCAP,PT,15+,5.4
2003,SL_EMP_PCAP,PT,15+,5.1
2004,SL_EMP_PCAP,PT,15+,8.0
2005,SL_EMP_PCAP,PT,15+,6.1
2006,SL_EMP_PCAP,PT,15+.7.1
2007,SL_EMP_PCAP,PT,15+,3.5
2008,SL_EMP_PCAP,PT,15+,-0.92
2009,SL_EMP_PCAP,PT,15+,-0.35
2010,SL_EMP_PCAP,PT,15+,7.3
2011,SL_EMP_PCAP,PT,15+,3.3
2012,SL_EMP_PCAP,PT,15+,1.9
2013,SL_EMP_PCAP,PT,15+,3.3
2014,SL_EMP_PCAP,PT,15+,2.7
2015,SL_EMP_PCAP,PT,15+,6.05
2016,SL_EMP_PCAP,PT,15+,1.6
2017,SL_EMP_PCAP,PT,15+,-1.58
2018,SL_EMP_PCAP,PT,15+,2.74
2019,SL_EMP_PCAP,PT,15+,1.35
2020,SL_EMP_PCAP,PT,15+,-0.56
2021,SL_EMP_PCAP,PT,15+,7.71
2022,SL_EMP_PCAP,PT,15+,2.64
