Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_SCIDEN,NUMBER,_T,339
2005,SH_STA_SCIDEN,NUMBER,_T,405
2010,SH_STA_SCIDEN,NUMBER,_T,390
2015,SH_STA_SCIDEN,NUMBER,_T,367
2019,SH_STA_SCIDEN,NUMBER,_T,361
2000,SH_STA_SCIDEN,NUMBER,F,76
2005,SH_STA_SCIDEN,NUMBER,F,85
2010,SH_STA_SCIDEN,NUMBER,F,84
2015,SH_STA_SCIDEN,NUMBER,F,81
2019,SH_STA_SCIDEN,NUMBER,F,76
2000,SH_STA_SCIDEN,NUMBER,M,263
2005,SH_STA_SCIDEN,NUMBER,M,320
2010,SH_STA_SCIDEN,NUMBER,M,306
2015,SH_STA_SCIDEN,NUMBER,M,287
2019,SH_STA_SCIDEN,NUMBER,M,285
2000,SH_STA_SCIDE,PER_100000_POP,_T,11.0
2005,SH_STA_SCIDE,PER_100000_POP,_T,10.8
2010,SH_STA_SCIDE,PER_100000_POP,_T,10.5
2015,SH_STA_SCIDE,PER_100000_POP,_T,10.6
2019,SH_STA_SCIDE,PER_100000_POP,_T,10.9
2020,SH_STA_SCIDE,PER_100000_POP,_T,9.8
2021,SH_STA_SCIDE,PER_100000_POP,_T,9.8
2000,SH_STA_SCIDE,PER_100000_POP,F,5.6
2005,SH_STA_SCIDE,PER_100000_POP,F,4.8
2010,SH_STA_SCIDE,PER_100000_POP,F,4.6
2015,SH_STA_SCIDE,PER_100000_POP,F,4.8
2019,SH_STA_SCIDE,PER_100000_POP,F,5.0
2020,SH_STA_SCIDE,PER_100000_POP,F,4.4
2021,SH_STA_SCIDE,PER_100000_POP,F,4.7
2000,SH_STA_SCIDE,PER_100000_POP,M,16.8
2005,SH_STA_SCIDE,PER_100000_POP,M,17.4
2010,SH_STA_SCIDE,PER_100000_POP,M,16.9
2015,SH_STA_SCIDE,PER_100000_POP,M,17.0
2019,SH_STA_SCIDE,PER_100000_POP,M,17.5
2020,SH_STA_SCIDE,PER_100000_POP,M,15.7
2021,SH_STA_SCIDE,PER_100000_POP,M,13.7
