Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2006,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2007,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2008,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2009,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2010,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2011,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2012,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2014,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2015,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2016,VC_HTF_DETVOG,NUMBER,M,Y0T17,0
2005,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2006,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2007,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2008,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2009,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2010,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2011,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2012,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2014,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2015,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2016,VC_HTF_DETVOG,NUMBER,F,Y_GE18,0
2005,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2006,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2007,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2008,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2009,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2010,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2011,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2012,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2014,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2015,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2016,VC_HTF_DETVOG,NUMBER,M,Y_GE18,0
2005,VC_HTF_DETVOG,NUMBER,F,_T,0
2006,VC_HTF_DETVOG,NUMBER,F,_T,0
2007,VC_HTF_DETVOG,NUMBER,F,_T,0
2008,VC_HTF_DETVOG,NUMBER,F,_T,0
2009,VC_HTF_DETVOG,NUMBER,F,_T,0
2010,VC_HTF_DETVOG,NUMBER,F,_T,0
2011,VC_HTF_DETVOG,NUMBER,F,_T,0
2012,VC_HTF_DETVOG,NUMBER,F,_T,0
2014,VC_HTF_DETVOG,NUMBER,F,_T,0
2015,VC_HTF_DETVOG,NUMBER,F,_T,0
2016,VC_HTF_DETVOG,NUMBER,F,_T,0
2005,VC_HTF_DETVOG,NUMBER,M,_T,0
2006,VC_HTF_DETVOG,NUMBER,M,_T,0
2007,VC_HTF_DETVOG,NUMBER,M,_T,0
2008,VC_HTF_DETVOG,NUMBER,M,_T,0
2009,VC_HTF_DETVOG,NUMBER,M,_T,0
2010,VC_HTF_DETVOG,NUMBER,M,_T,0
2011,VC_HTF_DETVOG,NUMBER,M,_T,0
2012,VC_HTF_DETVOG,NUMBER,M,_T,0
2014,VC_HTF_DETVOG,NUMBER,M,_T,0
2015,VC_HTF_DETVOG,NUMBER,M,_T,0
2016,VC_HTF_DETVOG,NUMBER,M,_T,0
2014,VC_HTF_DETVSX,NUMBER,F,Y0T17,6
2014,VC_HTF_DETVSX,NUMBER,M,Y0T17,0
2015,VC_HTF_DETVSX,NUMBER,M,Y0T17,0
2016,VC_HTF_DETVSX,NUMBER,M,Y0T17,0
2014,VC_HTF_DETVSX,NUMBER,F,Y_GE18,4
2015,VC_HTF_DETVSX,NUMBER,F,Y_GE18,6
2016,VC_HTF_DETVSX,NUMBER,F,Y_GE18,7
2014,VC_HTF_DETVSX,NUMBER,M,Y_GE18,0
2015,VC_HTF_DETVSX,NUMBER,M,Y_GE18,0
2016,VC_HTF_DETVSX,NUMBER,M,Y_GE18,0
2010,VC_HTF_DETVSX,NUMBER,F,_T,7
2011,VC_HTF_DETVSX,NUMBER,F,_T,17
2012,VC_HTF_DETVSX,NUMBER,F,_T,20
2014,VC_HTF_DETVSX,NUMBER,F,_T,10
2015,VC_HTF_DETVSX,NUMBER,F,_T,6
2016,VC_HTF_DETVSX,NUMBER,F,_T,7
2010,VC_HTF_DETVSX,NUMBER,M,_T,1
2011,VC_HTF_DETVSX,NUMBER,M,_T,1
2012,VC_HTF_DETVSX,NUMBER,M,_T,0
2014,VC_HTF_DETVSX,NUMBER,M,_T,0
2015,VC_HTF_DETVSX,NUMBER,M,_T,0
2016,VC_HTF_DETVSX,NUMBER,M,_T,0
2005,VC_HTF_DETV,NUMBER,_T,_T,66
2006,VC_HTF_DETV,NUMBER,_T,_T,71
2007,VC_HTF_DETV,NUMBER,_T,_T,41
2008,VC_HTF_DETV,NUMBER,_T,_T,33
2009,VC_HTF_DETV,NUMBER,_T,_T,69
2010,VC_HTF_DETV,NUMBER,_T,_T,25
2011,VC_HTF_DETV,NUMBER,_T,_T,35
2012,VC_HTF_DETV,NUMBER,_T,_T,39
2014,VC_HTF_DETV,NUMBER,_T,_T,49
2015,VC_HTF_DETV,NUMBER,_T,_T,35
2016,VC_HTF_DETV,NUMBER,_T,_T,48
