Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2001,ER_H2O_STRESS,PT,INDUSTRIES,0.11
2006,ER_H2O_STRESS,PT,INDUSTRIES,0.22
2007,ER_H2O_STRESS,PT,INDUSTRIES,0.26
2010,ER_H2O_STRESS,PT,INDUSTRIES,0.31
2011,ER_H2O_STRESS,PT,INDUSTRIES,0.40
2012,ER_H2O_STRESS,PT,INDUSTRIES,0.49
2013,ER_H2O_STRESS,PT,INDUSTRIES,0.51
2014,ER_H2O_STRESS,PT,INDUSTRIES,0.41
2015,ER_H2O_STRESS,PT,INDUSTRIES,0.41
2016,ER_H2O_STRESS,PT,INDUSTRIES,0.44
2017,ER_H2O_STRESS,PT,INDUSTRIES,0.44
2018,ER_H2O_STRESS,PT,INDUSTRIES,0.41
2019,ER_H2O_STRESS,PT,INDUSTRIES,0.27
2001,ER_H2O_STRESS,PT,ISIC4_GTT,2.37
2006,ER_H2O_STRESS,PT,ISIC4_GTT,2.31
2007,ER_H2O_STRESS,PT,ISIC4_GTT,2.33
2010,ER_H2O_STRESS,PT,ISIC4_GTT,2.58
2011,ER_H2O_STRESS,PT,ISIC4_GTT,2.42
2012,ER_H2O_STRESS,PT,ISIC4_GTT,2.42
2013,ER_H2O_STRESS,PT,ISIC4_GTT,2.39
2014,ER_H2O_STRESS,PT,ISIC4_GTT,2.33
2015,ER_H2O_STRESS,PT,ISIC4_GTT,2.37
2016,ER_H2O_STRESS,PT,ISIC4_GTT,2.34
2017,ER_H2O_STRESS,PT,ISIC4_GTT,2.22
2018,ER_H2O_STRESS,PT,ISIC4_GTT,1.66
2019,ER_H2O_STRESS,PT,ISIC4_GTT,1.76
2001,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2006,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2007,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2010,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2011,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2012,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2013,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2014,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2015,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2016,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2017,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2018,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2019,ER_H2O_STRESS,PT,ISIC4_A01_A0210_A0322,0
2000,ER_H2O_STRESS,PT,_T,2.47
2001,ER_H2O_STRESS,PT,_T,2.48
2002,ER_H2O_STRESS,PT,_T,2.49
2003,ER_H2O_STRESS,PT,_T,2.51
2004,ER_H2O_STRESS,PT,_T,2.52
2005,ER_H2O_STRESS,PT,_T,2.51
2006,ER_H2O_STRESS,PT,_T,2.53
2007,ER_H2O_STRESS,PT,_T,2.59
2010,ER_H2O_STRESS,PT,_T,2.89
2011,ER_H2O_STRESS,PT,_T,2.81
2012,ER_H2O_STRESS,PT,_T,2.91
2013,ER_H2O_STRESS,PT,_T,2.89
2014,ER_H2O_STRESS,PT,_T,2.74
2015,ER_H2O_STRESS,PT,_T,2.78
2016,ER_H2O_STRESS,PT,_T,2.79
2017,ER_H2O_STRESS,PT,_T,2.66
2018,ER_H2O_STRESS,PT,_T,2.07
2019,ER_H2O_STRESS,PT,_T,2.03
2020,ER_H2O_STRESS,PT,_T,2.0
2021,ER_H2O_STRESS,PT,_T,2.03
2022,ER_H2O_STRESS,PT,_T,2.07
