Year,SERIES,UNIT_MEASURE,SEX,Value
2010,SE_PRE_PARTN,PT,_T,12.39221
2011,SE_PRE_PARTN,PT,_T,12.96625
2012,SE_PRE_PARTN,PT,_T,13.24558
2016,SE_PRE_PARTN,PT,_T,17.93691
2017,SE_PRE_PARTN,PT,_T,19.35778
2018,SE_PRE_PARTN,PT,_T,20.01317
2019,SE_PRE_PARTN,PT,_T,27.16013
2020,SE_PRE_PARTN,PT,_T,28.28136
2021,SE_PRE_PARTN,PT,_T,27.2436
2022,SE_PRE_PARTN,PT,_T,30.01619
2010,SE_PRE_PARTN,PT,F,12.24389
2011,SE_PRE_PARTN,PT,F,12.54266
2012,SE_PRE_PARTN,PT,F,12.95193
2016,SE_PRE_PARTN,PT,F,17.58494
2017,SE_PRE_PARTN,PT,F,18.93585
2018,SE_PRE_PARTN,PT,F,20.01642
2019,SE_PRE_PARTN,PT,F,26.67605
2020,SE_PRE_PARTN,PT,F,27.47719
2021,SE_PRE_PARTN,PT,F,27.23619
2022,SE_PRE_PARTN,PT,F,29.32686
2010,SE_PRE_PARTN,PT,M,12.53235
2011,SE_PRE_PARTN,PT,M,13.36955
2012,SE_PRE_PARTN,PT,M,13.52689
2016,SE_PRE_PARTN,PT,M,18.27028
2017,SE_PRE_PARTN,PT,M,19.75795
2018,SE_PRE_PARTN,PT,M,20.01007
2019,SE_PRE_PARTN,PT,M,27.90273
2020,SE_PRE_PARTN,PT,M,30.06120
2021,SE_PRE_PARTN,PT,M,29.08514
2022,SE_PRE_PARTN,PT,M,30.67201
