Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2010,EN_ATM_PM25,GPERM3,_T,34.91059
2011,EN_ATM_PM25,GPERM3,_T,36.5729
2012,EN_ATM_PM25,GPERM3,_T,34.05842
2013,EN_ATM_PM25,GPERM3,_T,31.48972
2014,EN_ATM_PM25,GPERM3,_T,32.07207
2015,EN_ATM_PM25,GPERM3,_T,30.73886
2016,EN_ATM_PM25,GPERM3,_T,29.70925
2017,EN_ATM_PM25,GPERM3,_T,31.40318
2018,EN_ATM_PM25,GPERM3,_T,32.0164
2019,EN_ATM_PM25,GPERM3,_T,26.19402
2010,EN_ATM_PM25,GPERM3,CITY,42.92364
2011,EN_ATM_PM25,GPERM3,CITY,45.05643
2012,EN_ATM_PM25,GPERM3,CITY,43.85321
2013,EN_ATM_PM25,GPERM3,CITY,38.97629
2014,EN_ATM_PM25,GPERM3,CITY,39.60343
2015,EN_ATM_PM25,GPERM3,CITY,37.94639
2016,EN_ATM_PM25,GPERM3,CITY,36.78305
2017,EN_ATM_PM25,GPERM3,CITY,40.27741
2018,EN_ATM_PM25,GPERM3,CITY,39.6268
2019,EN_ATM_PM25,GPERM3,CITY,32.52884
2010,EN_ATM_PM25,GPERM3,R,31.96807
2011,EN_ATM_PM25,GPERM3,R,33.47936
2012,EN_ATM_PM25,GPERM3,R,30.90362
2013,EN_ATM_PM25,GPERM3,R,28.79152
2014,EN_ATM_PM25,GPERM3,R,29.31388
2015,EN_ATM_PM25,GPERM3,R,28.13006
2016,EN_ATM_PM25,GPERM3,R,27.14589
2017,EN_ATM_PM25,GPERM3,R,28.49337
2018,EN_ATM_PM25,GPERM3,R,29.24978
2019,EN_ATM_PM25,GPERM3,R,23.90133
2010,EN_ATM_PM25,GPERM3,TSUB,37.84263
2011,EN_ATM_PM25,GPERM3,TSUB,39.60648
2012,EN_ATM_PM25,GPERM3,TSUB,36.58439
2013,EN_ATM_PM25,GPERM3,TSUB,34.05886
2014,EN_ATM_PM25,GPERM3,TSUB,34.73922
2015,EN_ATM_PM25,GPERM3,TSUB,33.20532
2016,EN_ATM_PM25,GPERM3,TSUB,32.12138
2017,EN_ATM_PM25,GPERM3,TSUB,33.72101
2018,EN_ATM_PM25,GPERM3,TSUB,34.59927
2019,EN_ATM_PM25,GPERM3,TSUB,28.30796
2010,EN_ATM_PM25,GPERM3,U,39.48627
2011,EN_ATM_PM25,GPERM3,U,41.3699
2012,EN_ATM_PM25,GPERM3,U,38.93669
2013,EN_ATM_PM25,GPERM3,U,35.65029
2014,EN_ATM_PM25,GPERM3,U,36.31329
2015,EN_ATM_PM25,GPERM3,U,34.73918
2016,EN_ATM_PM25,GPERM3,U,33.62895
2017,EN_ATM_PM25,GPERM3,U,35.84018
2018,EN_ATM_PM25,GPERM3,U,36.22323
2019,EN_ATM_PM25,GPERM3,U,29.67038
