Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2023,SG_CPA_OFDI,ALL,NUMBER,0
2024,SG_CPA_OFDI,ALL,NUMBER,0
2023,SG_CPA_OFDI,DIRECTCPART,NUMBER,0
2024,SG_CPA_OFDI,DIRECTCPART,NUMBER,0
2023,SG_CPA_OFDI,FISFINSUP,NUMBER,0
2024,SG_CPA_OFDI,FISFINSUP,NUMBER,0
2023,SG_CPA_OFDI,INVFACSERV,NUMBER,0
2024,SG_CPA_OFDI,INVFACSERV,NUMBER,0
2023,SG_CPA_OFDI,INVGUA,NUMBER,0
2024,SG_CPA_OFDI,INVGUA,NUMBER,0
