Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2014,SE_ADT_EDUCTRN,PT,_T,Y15T24,62.8
2015,SE_ADT_EDUCTRN,PT,_T,Y15T24,60.5
2016,SE_ADT_EDUCTRN,PT,_T,Y15T24,59.8
2017,SE_ADT_EDUCTRN,PT,_T,Y15T24,58.3
2018,SE_ADT_EDUCTRN,PT,_T,Y15T24,58.8
2019,SE_ADT_EDUCTRN,PT,_T,Y15T24,55.5
2020,SE_ADT_EDUCTRN,PT,_T,Y15T24,59.3
2021,SE_ADT_EDUCTRN,PT,_T,Y15T24,60.7
2014,SE_ADT_EDUCTRN,PT,F,Y15T24,66.8
2015,SE_ADT_EDUCTRN,PT,F,Y15T24,66.5
2016,SE_ADT_EDUCTRN,PT,F,Y15T24,64.7
2017,SE_ADT_EDUCTRN,PT,F,Y15T24,59.6
2018,SE_ADT_EDUCTRN,PT,F,Y15T24,66.6
2019,SE_ADT_EDUCTRN,PT,F,Y15T24,62.6
2020,SE_ADT_EDUCTRN,PT,F,Y15T24,66.3
2021,SE_ADT_EDUCTRN,PT,F,Y15T24,60.7
2014,SE_ADT_EDUCTRN,PT,M,Y15T24,58.4
2015,SE_ADT_EDUCTRN,PT,M,Y15T24,55.0
2016,SE_ADT_EDUCTRN,PT,M,Y15T24,53.9
2017,SE_ADT_EDUCTRN,PT,M,Y15T24,53.0
2018,SE_ADT_EDUCTRN,PT,M,Y15T24,52.3
2019,SE_ADT_EDUCTRN,PT,M,Y15T24,51.8
2020,SE_ADT_EDUCTRN,PT,M,Y15T24,56.3
2021,SE_ADT_EDUCTRN,PT,M,Y15T24,55.5
2014,SE_ADT_EDUCTRN,PT,_T,Y15T64,13.7
2015,SE_ADT_EDUCTRN,PT,_T,Y15T64,13.1
2016,SE_ADT_EDUCTRN,PT,_T,Y15T64,12.9
2017,SE_ADT_EDUCTRN,PT,_T,Y15T64,12.1
2018,SE_ADT_EDUCTRN,PT,_T,Y15T64,11.8
2019,SE_ADT_EDUCTRN,PT,_T,Y15T64,10.9
2020,SE_ADT_EDUCTRN,PT,_T,Y15T64,12.9
2021,SE_ADT_EDUCTRN,PT,_T,Y15T64,11.9
2014,SE_ADT_EDUCTRN,PT,F,Y15T64,13.9
2015,SE_ADT_EDUCTRN,PT,F,Y15T64,13.7
2016,SE_ADT_EDUCTRN,PT,F,Y15T64,13.7
2017,SE_ADT_EDUCTRN,PT,F,Y15T64,12.2
2018,SE_ADT_EDUCTRN,PT,F,Y15T64,13.1
2019,SE_ADT_EDUCTRN,PT,F,Y15T64,10.7
2020,SE_ADT_EDUCTRN,PT,F,Y15T64,13.3
2021,SE_ADT_EDUCTRN,PT,F,Y15T64,12.6
2014,SE_ADT_EDUCTRN,PT,M,Y15T64,13.5
2015,SE_ADT_EDUCTRN,PT,M,Y15T64,12.4
2016,SE_ADT_EDUCTRN,PT,M,Y15T64,12.1
2017,SE_ADT_EDUCTRN,PT,M,Y15T64,11.5
2018,SE_ADT_EDUCTRN,PT,M,Y15T64,11.2
2019,SE_ADT_EDUCTRN,PT,M,Y15T64,11.1
2020,SE_ADT_EDUCTRN,PT,M,Y15T64,12.5
2021,SE_ADT_EDUCTRN,PT,M,Y15T64,11.1
2014,SE_ADT_EDUCTRN,PT,_T,Y25T54,2.4
2015,SE_ADT_EDUCTRN,PT,_T,Y25T54,2.3
2016,SE_ADT_EDUCTRN,PT,_T,Y25T54,2.6
2017,SE_ADT_EDUCTRN,PT,_T,Y25T54,1.8
2018,SE_ADT_EDUCTRN,PT,_T,Y25T54,1.9
2019,SE_ADT_EDUCTRN,PT,_T,Y25T54,2.0
2020,SE_ADT_EDUCTRN,PT,_T,Y25T54,3.8
2021,SE_ADT_EDUCTRN,PT,_T,Y25T54,2.2
2014,SE_ADT_EDUCTRN,PT,F,Y25T54,2.3
2015,SE_ADT_EDUCTRN,PT,F,Y25T54,2.6
2016,SE_ADT_EDUCTRN,PT,F,Y25T54,2.9
2017,SE_ADT_EDUCTRN,PT,F,Y25T54,2.0
2018,SE_ADT_EDUCTRN,PT,F,Y25T54,2.1
2019,SE_ADT_EDUCTRN,PT,F,Y25T54,2.2
2020,SE_ADT_EDUCTRN,PT,F,Y25T54,4.0
2021,SE_ADT_EDUCTRN,PT,F,Y25T54,2.3
2014,SE_ADT_EDUCTRN,PT,M,Y25T54,2.5
2015,SE_ADT_EDUCTRN,PT,M,Y25T54,2.0
2016,SE_ADT_EDUCTRN,PT,M,Y25T54,2.2
2017,SE_ADT_EDUCTRN,PT,M,Y25T54,1.6
2018,SE_ADT_EDUCTRN,PT,M,Y25T54,1.8
2019,SE_ADT_EDUCTRN,PT,M,Y25T54,1.9
2020,SE_ADT_EDUCTRN,PT,M,Y25T54,3.6
2021,SE_ADT_EDUCTRN,PT,M,Y25T54,2.1
2016,SE_ADT_EDUCTRN,PT,_T,Y55T64,0.2
2020,SE_ADT_EDUCTRN,PT,_T,Y55T64,0.1
2016,SE_ADT_EDUCTRN,PT,F,Y55T64,0.3
2020,SE_ADT_EDUCTRN,PT,F,Y55T64,0.1
2020,SE_ADT_EDUCTRN,PT,M,Y55T64,0.2
