Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2000,TM_TAX_DPRF,PT,AGR,7.58327
2005,TM_TAX_DPRF,PT,AGR,3.75971
2010,TM_TAX_DPRF,PT,AGR,3.66338
2011,TM_TAX_DPRF,PT,AGR,3.6789
2012,TM_TAX_DPRF,PT,AGR,3.58165
2013,TM_TAX_DPRF,PT,AGR,3.59409
2014,TM_TAX_DPRF,PT,AGR,3.5962
2015,TM_TAX_DPRF,PT,AGR,3.57186
2016,TM_TAX_DPRF,PT,AGR,3.66464
2017,TM_TAX_DPRF,PT,AGR,3.4999
2018,TM_TAX_DPRF,PT,AGR,3.50998
2019,TM_TAX_DPRF,PT,AGR,3.50611
2020,TM_TAX_DPRF,PT,AGR,3.50622
2021,TM_TAX_DPRF,PT,AGR,3.50576
2022,TM_TAX_DPRF,PT,AGR,3.47091
2023,TM_TAX_DPRF,PT,AGR,3.45998
2024,TM_TAX_DPRF,PT,AGR,3.46054
2000,TM_TAX_DPRF,PT,ALP,2.5423
2005,TM_TAX_DPRF,PT,ALP,1.68836
2010,TM_TAX_DPRF,PT,ALP,1.36992
2011,TM_TAX_DPRF,PT,ALP,1.40375
2012,TM_TAX_DPRF,PT,ALP,1.56578
2013,TM_TAX_DPRF,PT,ALP,1.4129
2014,TM_TAX_DPRF,PT,ALP,1.57406
2015,TM_TAX_DPRF,PT,ALP,1.39572
2016,TM_TAX_DPRF,PT,ALP,1.43453
2017,TM_TAX_DPRF,PT,ALP,1.58779
2018,TM_TAX_DPRF,PT,ALP,1.44621
2019,TM_TAX_DPRF,PT,ALP,1.39521
2020,TM_TAX_DPRF,PT,ALP,1.39523
2021,TM_TAX_DPRF,PT,ALP,1.39513
2022,TM_TAX_DPRF,PT,ALP,1.36371
2023,TM_TAX_DPRF,PT,ALP,1.36417
2024,TM_TAX_DPRF,PT,ALP,1.36423
2000,TM_TAX_DPRF,PT,ARM,1.80511
2005,TM_TAX_DPRF,PT,ARM,0.31856
2010,TM_TAX_DPRF,PT,ARM,0.31812
2011,TM_TAX_DPRF,PT,ARM,0.31825
2012,TM_TAX_DPRF,PT,ARM,0.316
2013,TM_TAX_DPRF,PT,ARM,0.316
2014,TM_TAX_DPRF,PT,ARM,0.316
2015,TM_TAX_DPRF,PT,ARM,0.316
2016,TM_TAX_DPRF,PT,ARM,0.7555
2017,TM_TAX_DPRF,PT,ARM,0.7555
2018,TM_TAX_DPRF,PT,ARM,0.7555
2019,TM_TAX_DPRF,PT,ARM,0.7555
2020,TM_TAX_DPRF,PT,ARM,0.7555
2021,TM_TAX_DPRF,PT,ARM,0.7555
2022,TM_TAX_DPRF,PT,ARM,0.7555
2023,TM_TAX_DPRF,PT,ARM,0.7555
2024,TM_TAX_DPRF,PT,ARM,0.7555
2000,TM_TAX_DPRF,PT,CLO,12.35432
2005,TM_TAX_DPRF,PT,CLO,8.19231
2010,TM_TAX_DPRF,PT,CLO,8.26443
2011,TM_TAX_DPRF,PT,CLO,8.26605
2012,TM_TAX_DPRF,PT,CLO,8.26036
2013,TM_TAX_DPRF,PT,CLO,8.27398
2014,TM_TAX_DPRF,PT,CLO,8.27606
2015,TM_TAX_DPRF,PT,CLO,8.10163
2016,TM_TAX_DPRF,PT,CLO,8.10583
2017,TM_TAX_DPRF,PT,CLO,7.95361
2018,TM_TAX_DPRF,PT,CLO,8.11439
2019,TM_TAX_DPRF,PT,CLO,8.11669
2020,TM_TAX_DPRF,PT,CLO,8.11662
2021,TM_TAX_DPRF,PT,CLO,8.11664
2022,TM_TAX_DPRF,PT,CLO,8.08422
2023,TM_TAX_DPRF,PT,CLO,8.08422
2024,TM_TAX_DPRF,PT,CLO,8.0847
2000,TM_TAX_DPRF,PT,IND,1.91509
2005,TM_TAX_DPRF,PT,IND,1.20067
