Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2001,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2002,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2003,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2004,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2005,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2006,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2007,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2008,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2009,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2010,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,7.54
2011,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2012,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2013,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2014,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2015,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.66
2016,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.53
2017,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.57
2018,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.81
2019,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.40
2020,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.41
2021,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2022,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,
2023,SH_STA_MORT,PER_100000_LIVE_BIRTHS,F,6.17
