Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_DYN_IMRTN,NUMBER,<1Y,_T,360
2001,SH_DYN_IMRTN,NUMBER,<1Y,_T,327
2002,SH_DYN_IMRTN,NUMBER,<1Y,_T,307
2003,SH_DYN_IMRTN,NUMBER,<1Y,_T,292
2004,SH_DYN_IMRTN,NUMBER,<1Y,_T,279
2005,SH_DYN_IMRTN,NUMBER,<1Y,_T,263
2006,SH_DYN_IMRTN,NUMBER,<1Y,_T,248
2007,SH_DYN_IMRTN,NUMBER,<1Y,_T,238
2008,SH_DYN_IMRTN,NUMBER,<1Y,_T,231
2009,SH_DYN_IMRTN,NUMBER,<1Y,_T,227
2010,SH_DYN_IMRTN,NUMBER,<1Y,_T,220
2011,SH_DYN_IMRTN,NUMBER,<1Y,_T,204
2012,SH_DYN_IMRTN,NUMBER,<1Y,_T,193
2013,SH_DYN_IMRTN,NUMBER,<1Y,_T,188
2014,SH_DYN_IMRTN,NUMBER,<1Y,_T,180
2015,SH_DYN_IMRTN,NUMBER,<1Y,_T,177
2016,SH_DYN_IMRTN,NUMBER,<1Y,_T,176
2017,SH_DYN_IMRTN,NUMBER,<1Y,_T,175
2018,SH_DYN_IMRTN,NUMBER,<1Y,_T,176
2019,SH_DYN_IMRTN,NUMBER,<1Y,_T,172
2020,SH_DYN_IMRTN,NUMBER,<1Y,_T,163
2021,SH_DYN_IMRTN,NUMBER,<1Y,_T,151
2022,SH_DYN_IMRTN,NUMBER,<1Y,_T,140
2023,SH_DYN_IMRTN,NUMBER,<1Y,_T,132
2024,SH_DYN_IMRTN,NUMBER,<1Y,_T,134
2000,SH_DYN_IMRTN,NUMBER,<1Y,F,155
2001,SH_DYN_IMRTN,NUMBER,<1Y,F,141
2002,SH_DYN_IMRTN,NUMBER,<1Y,F,133
2003,SH_DYN_IMRTN,NUMBER,<1Y,F,126
2004,SH_DYN_IMRTN,NUMBER,<1Y,F,120
2005,SH_DYN_IMRTN,NUMBER,<1Y,F,114
2006,SH_DYN_IMRTN,NUMBER,<1Y,F,107
2007,SH_DYN_IMRTN,NUMBER,<1Y,F,103
2008,SH_DYN_IMRTN,NUMBER,<1Y,F,101
2009,SH_DYN_IMRTN,NUMBER,<1Y,F,99
