Year,SERIES,UNIT_MEASURE,Value
2000,SH_TBS_INCID,PER_100000_POP,83
2001,SH_TBS_INCID,PER_100000_POP,82
2002,SH_TBS_INCID,PER_100000_POP,56
2003,SH_TBS_INCID,PER_100000_POP,59
2004,SH_TBS_INCID,PER_100000_POP,78
2005,SH_TBS_INCID,PER_100000_POP,70
2006,SH_TBS_INCID,PER_100000_POP,59
2007,SH_TBS_INCID,PER_100000_POP,79
2008,SH_TBS_INCID,PER_100000_POP,57
2009,SH_TBS_INCID,PER_100000_POP,58
2010,SH_TBS_INCID,PER_100000_POP,45
2011,SH_TBS_INCID,PER_100000_POP,46
2012,SH_TBS_INCID,PER_100000_POP,49
2013,SH_TBS_INCID,PER_100000_POP,44
2014,SH_TBS_INCID,PER_100000_POP,43
2015,SH_TBS_INCID,PER_100000_POP,40
2016,SH_TBS_INCID,PER_100000_POP,33
2017,SH_TBS_INCID,PER_100000_POP,29
2018,SH_TBS_INCID,PER_100000_POP,25
2019,SH_TBS_INCID,PER_100000_POP,27
2020,SH_TBS_INCID,PER_100000_POP,26
2021,SH_TBS_INCID,PER_100000_POP,25
