Year,SERIES,UNIT_MEASURE,SEX,Value
2006,IC_GEN_MGTL,PT,F,20.84
2007,IC_GEN_MGTL,PT,F,16.12
2008,IC_GEN_MGTL,PT,F,22.95
2009,IC_GEN_MGTL,PT,F,25.25
2010,IC_GEN_MGTL,PT,F,23.83
2011,IC_GEN_MGTL,PT,F,21.42
2012,IC_GEN_MGTL,PT,F,24.16
2013,IC_GEN_MGTL,PT,F,22.79
2014,IC_GEN_MGTL,PT,F,24.15
2015,IC_GEN_MGTL,PT,F,22
2016,IC_GEN_MGTL,PT,F,21.59
2017,IC_GEN_MGTL,PT,F,20.29
2018,IC_GEN_MGTL,PT,F,25.92
2019,IC_GEN_MGTL,PT,F,24.32
2006,IC_GEN_MGTN,PT,F,23.73
2007,IC_GEN_MGTN,PT,F,20.27
2008,IC_GEN_MGTN,PT,F,33.35
2009,IC_GEN_MGTN,PT,F,27.67
2011,IC_GEN_MGTN,PT,F,22.6
2012,IC_GEN_MGTN,PT,F,23.03
2013,IC_GEN_MGTN,PT,F,21.42
2014,IC_GEN_MGTN,PT,F,24.16
2015,IC_GEN_MGTN,PT,F,24.18
2016,IC_GEN_MGTN,PT,F,18.78
2017,IC_GEN_MGTN,PT,F,18.83
2018,IC_GEN_MGTN,PT,F,26.12
2019,IC_GEN_MGTN,PT,F,25.43
