Year,SERIES,UNIT_MEASURE,AGE,Value
2000,SN_STA_OVWGTN,THOUSANDS,Y0T4,40.3
2001,SN_STA_OVWGTN,THOUSANDS,Y0T4,42.9
2002,SN_STA_OVWGTN,THOUSANDS,Y0T4,43.8
2003,SN_STA_OVWGTN,THOUSANDS,Y0T4,43.9
2004,SN_STA_OVWGTN,THOUSANDS,Y0T4,43.7
2005,SN_STA_OVWGTN,THOUSANDS,Y0T4,43.6
2006,SN_STA_OVWGTN,THOUSANDS,Y0T4,43.2
2007,SN_STA_OVWGTN,THOUSANDS,Y0T4,42.4
2008,SN_STA_OVWGTN,THOUSANDS,Y0T4,41.3
2009,SN_STA_OVWGTN,THOUSANDS,Y0T4,39.9
2010,SN_STA_OVWGTN,THOUSANDS,Y0T4,38
2011,SN_STA_OVWGTN,THOUSANDS,Y0T4,35.9
2012,SN_STA_OVWGTN,THOUSANDS,Y0T4,33.6
2013,SN_STA_OVWGTN,THOUSANDS,Y0T4,31
2014,SN_STA_OVWGTN,THOUSANDS,Y0T4,28.2
2015,SN_STA_OVWGTN,THOUSANDS,Y0T4,25.4
2016,SN_STA_OVWGTN,THOUSANDS,Y0T4,22.8
2017,SN_STA_OVWGTN,THOUSANDS,Y0T4,20.6
2018,SN_STA_OVWGTN,THOUSANDS,Y0T4,18.6
2019,SN_STA_OVWGTN,THOUSANDS,Y0T4,17.1
2020,SN_STA_OVWGTN,THOUSANDS,Y0T4,15.0
2021,SN_STA_OVWGTN,THOUSANDS,Y0T4,14.9
2022,SN_STA_OVWGTN,THOUSANDS,Y0T4,14.0
2000,SN_STA_OVWGT,PT,Y0T4,17.3
2001,SN_STA_OVWGT,PT,Y0T4,18.7
2002,SN_STA_OVWGT,PT,Y0T4,19.8
2003,SN_STA_OVWGT,PT,Y0T4,20.8
2004,SN_STA_OVWGT,PT,Y0T4,21.5
2005,SN_STA_OVWGT,PT,Y0T4,22
2006,SN_STA_OVWGT,PT,Y0T4,22.3
2007,SN_STA_OVWGT,PT,Y0T4,22.2
2008,SN_STA_OVWGT,PT,Y0T4,21.9
2009,SN_STA_OVWGT,PT,Y0T4,21.3
2010,SN_STA_OVWGT,PT,Y0T4,20.6
2011,SN_STA_OVWGT,PT,Y0T4,19.7
2012,SN_STA_OVWGT,PT,Y0T4,18.7
2013,SN_STA_OVWGT,PT,Y0T4,17.5
2014,SN_STA_OVWGT,PT,Y0T4,16.2
2015,SN_STA_OVWGT,PT,Y0T4,14.9
2016,SN_STA_OVWGT,PT,Y0T4,13.7
2017,SN_STA_OVWGT,PT,Y0T4,12.6
2018,SN_STA_OVWGT,PT,Y0T4,11.6
2019,SN_STA_OVWGT,PT,Y0T4,10.7
2020,SN_STA_OVWGT,PT,Y0T4,10.1
2021,SN_STA_OVWGT,PT,Y0T4,9.7
2022,SN_STA_OVWGT,PT,Y0T4,9.4
2000,SH_STA_WAST,PT,Y0T4,7.4
2006,SH_STA_WAST,PT,Y0T4,4.0
2012,SH_STA_WAST,PT,Y0T4,2.3
