Year,SERIES,UNIT_MEASURE,Value
2000,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,20.09
2001,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,43.6
2002,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,10.37
2003,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,14.92
2004,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,45.95
2005,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,22.07
2006,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,17.24
2007,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,18.18
2008,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,15.69
2009,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,19.39
2010,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,30.86
2011,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,47.38
2012,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,46.88
2013,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,40.77
2014,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,47.15
2015,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,75.76
2016,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,53.98
2017,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,53.99
2018,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,18.43
2019,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,29.95
2020,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,24.44
2021,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,22.15
2022,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,7.79
2023,"Ukupna zvanična razvojna pomoć (bruto izdaci) za vodoopskrbu i kanalizaciju, prema zemljama primateljima (milioni američkih dolara konstanta 2023.)",Milioni konstantni američki dolari,21.92
