Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Stupanj urbanizacije,Value
2018,EN_WWT_WWDS,Postotak,,,22.70747
2020,EN_WWT_WWDS,Postotak,,,46.7966
2015,EN_WWT_TREATR,Postotak,Industrije,Ukupno,100.0
2015,EN_WWT_TREATR,Postotak,Bez podjele,Ukupno,54.3595
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Industrije,Ukupno,8.6
2015,EN_WWT_GEN,Milion kubnih metara godišnje,"Poljoprivreda, šumarstvo i ribolov",Ukupno,0.5
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Proizvodnja,Ukupno,8.6
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Privatna domaćinstva,Ukupno,70.0
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Usluge i aktivnosti domaćinstava,Ukupno,84.0
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Usluge,Ukupno,13.8
2015,EN_WWT_GEN,Milion kubnih metara godišnje,Bez podjele,Ukupno,92.9
2015,EN_WWT_TREAT,Milion kubnih metara godišnje,Industrije,Ukupno,45.8
2015,EN_WWT_TREAT,Milion kubnih metara godišnje,Bez podjele,Ukupno,50.5
