Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2000,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,6.66751
2001,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,6.91586
2002,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,7.31228
2003,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,8.69966
2004,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,9.28786
2005,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,9.80739
2006,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.78876
2007,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,10.89829
2008,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,12.12867
2009,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.40177
2010,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.12588
2011,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.71399
2012,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,12.08488
2013,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.4451
2014,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,11.17667
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,12.47721
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,13.67454
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,12.8607
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,14.19415
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Bez podjele,14.46275
2000,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.5325
2001,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.69833
2002,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.73528
2003,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.31352
2004,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.83925
2005,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.8148
2006,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.90239
2007,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.51972
2008,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.80323
2009,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.70012
2010,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.59111
2011,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.59921
2012,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.3632
2013,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.70089
2014,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.55069
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.79108
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,3.26414
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,2.78267
2018,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,3.39949
2019,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Biomasa,3.51815
2000,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,1.96685
2001,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,1.99573
2002,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.06789
2003,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.24046
2004,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.32347
2005,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.49965
2006,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.72931
2007,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,2.68365
2008,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.08796
2009,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.24336
2010,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.20714
2011,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.70264
2012,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.53956
2013,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.54909
2014,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.63228
2015,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,3.84736
2016,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,4.35102
2017,"Potrošnja domaćih materijala po stanovniku, prema vrsti sirovine",Tone,Ugljen,4.55235
