Year,SERIES,UNIT_MEASURE,Vrsta proizvoda,Value
2000,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,7.58327
2005,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.75971
2010,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.66338
2011,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.6789
2012,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.58165
2013,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.59409
2014,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.5962
2015,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.57186
2016,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.66464
2017,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.4999
2018,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.50998
2019,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.50611
2020,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.50622
2021,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.50576
2022,TM_TAX_DPRF,Postotak,Poljoprivredni proizvodi,3.47091
2000,TM_TAX_DPRF,Postotak,Bez podjele,2.5423
2005,TM_TAX_DPRF,Postotak,Bez podjele,1.68836
2010,TM_TAX_DPRF,Postotak,Bez podjele,1.36992
2011,TM_TAX_DPRF,Postotak,Bez podjele,1.40375
2012,TM_TAX_DPRF,Postotak,Bez podjele,1.56578
2013,TM_TAX_DPRF,Postotak,Bez podjele,1.4129
2014,TM_TAX_DPRF,Postotak,Bez podjele,1.57406
2015,TM_TAX_DPRF,Postotak,Bez podjele,1.39572
2016,TM_TAX_DPRF,Postotak,Bez podjele,1.43453
2017,TM_TAX_DPRF,Postotak,Bez podjele,1.58779
2018,TM_TAX_DPRF,Postotak,Bez podjele,1.44621
2019,TM_TAX_DPRF,Postotak,Bez podjele,1.39521
2020,TM_TAX_DPRF,Postotak,Bez podjele,1.39523
2021,TM_TAX_DPRF,Postotak,Bez podjele,1.39513
2022,TM_TAX_DPRF,Postotak,Bez podjele,1.36371
2000,TM_TAX_DPRF,Postotak,Oružje,1.80511
2005,TM_TAX_DPRF,Postotak,Oružje,0.31856
2010,TM_TAX_DPRF,Postotak,Oružje,0.31812
2011,TM_TAX_DPRF,Postotak,Oružje,0.31825
2012,TM_TAX_DPRF,Postotak,Oružje,0.316
2013,TM_TAX_DPRF,Postotak,Oružje,0.316
2014,TM_TAX_DPRF,Postotak,Oružje,0.316
2015,TM_TAX_DPRF,Postotak,Oružje,0.316
2016,TM_TAX_DPRF,Postotak,Oružje,0.7555
2017,TM_TAX_DPRF,Postotak,Oružje,0.7555
2018,TM_TAX_DPRF,Postotak,Oružje,0.7555
2019,TM_TAX_DPRF,Postotak,Oružje,0.7555
2020,TM_TAX_DPRF,Postotak,Oružje,0.7555
2021,TM_TAX_DPRF,Postotak,Oružje,0.7555
2022,TM_TAX_DPRF,Postotak,Oružje,0.7555
2000,TM_TAX_DPRF,Postotak,Odjeća,12.35432
2005,TM_TAX_DPRF,Postotak,Odjeća,8.19231
2010,TM_TAX_DPRF,Postotak,Odjeća,8.26443
2011,TM_TAX_DPRF,Postotak,Odjeća,8.26605
2012,TM_TAX_DPRF,Postotak,Odjeća,8.26036
2013,TM_TAX_DPRF,Postotak,Odjeća,8.27398
2014,TM_TAX_DPRF,Postotak,Odjeća,8.27606
2015,TM_TAX_DPRF,Postotak,Odjeća,8.10163
2016,TM_TAX_DPRF,Postotak,Odjeća,8.10583
2017,TM_TAX_DPRF,Postotak,Odjeća,7.95361
2018,TM_TAX_DPRF,Postotak,Odjeća,8.11439
2019,TM_TAX_DPRF,Postotak,Odjeća,8.11669
2020,TM_TAX_DPRF,Postotak,Odjeća,8.11662
2021,TM_TAX_DPRF,Postotak,Odjeća,8.11664
2022,TM_TAX_DPRF,Postotak,Odjeća,8.08422
2000,TM_TAX_DPRF,Postotak,Industrijski proizvodi,1.91509
2005,TM_TAX_DPRF,Postotak,Industrijski proizvodi,1.20067
2010,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.8532
2011,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.88748
2012,TM_TAX_DPRF,Postotak,Industrijski proizvodi,1.05698
2013,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.9001
2014,TM_TAX_DPRF,Postotak,Industrijski proizvodi,1.06389
2015,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.89603
2016,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.92757
2017,TM_TAX_DPRF,Postotak,Industrijski proizvodi,1.05308
2018,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.90838
2019,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.89864
2020,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.89923
2021,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.89907
2022,TM_TAX_DPRF,Postotak,Industrijski proizvodi,0.8815
2000,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.24362
2005,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.1243
2010,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2011,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2012,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2013,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2014,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2015,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2016,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2017,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2018,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2019,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2020,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2021,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2022,TM_TAX_DPRF,Postotak,Nafta ili ulje,0.0
2000,TM_TAX_DPRF,Postotak,Tekstil,7.09295
2005,TM_TAX_DPRF,Postotak,Tekstil,5.50945
2010,TM_TAX_DPRF,Postotak,Tekstil,5.55547
2011,TM_TAX_DPRF,Postotak,Tekstil,5.59108
2012,TM_TAX_DPRF,Postotak,Tekstil,5.07189
2013,TM_TAX_DPRF,Postotak,Tekstil,5.16589
2014,TM_TAX_DPRF,Postotak,Tekstil,5.09556
2015,TM_TAX_DPRF,Postotak,Tekstil,5.0097
