Year,SERIES,UNIT_MEASURE,Value
2005,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,731
2006,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1196
2007,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1281
2008,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1295
2009,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,580
2010,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,936
2011,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,668
2012,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1091
2013,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,986
2014,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,551
2015,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,946
2016,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,656
2017,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1008
2018,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,993
2019,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,691
2020,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,789
2021,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,1094
2022,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,434
2023,"Ukupna pomoć za razvoj, po zemljama primateljima (u milijunima tekućih američkih dolara)",Milijuni tekućih američkih dolara,621
