Year,SERIES,UNIT_MEASURE,Value
2018,"Broj zemalja koje izvješćuju o napretku u okvirima za praćenje učinkovitosti razvoja s više dionika koji podržavaju postizanje ciljeva održivog razvoja, Primatelj (1 = DA; 0 = NE)",Broj,0
2024,"Broj zemalja koje izvješćuju o napretku u okvirima za praćenje učinkovitosti razvoja s više dionika koji podržavaju postizanje ciljeva održivog razvoja, Primatelj (1 = DA; 0 = NE)",Broj,1
