Year,SERIES,UNIT_MEASURE,Spol,Value
2010,"Stopa rasprostranjenosti mita, prema spolu (%)",Postotak,Oba spola,20.7
2015,"Stopa rasprostranjenosti mita, prema spolu (%)",Postotak,Oba spola,24.2
2010,"Stopa rasprostranjenosti mita, prema spolu (%)",Postotak,Žene,18.2
2010,"Stopa rasprostranjenosti mita, prema spolu (%)",Postotak,Muškarci,23.2
