Year,SERIES,UNIT_MEASURE,Value
2002,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2003,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2004,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2005,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,0.6115
2006,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2007,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2008,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2009,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2010,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,12.1442
2011,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2012,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2013,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2014,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2015,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,0.8117
2016,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2017,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2018,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,11.2733
2019,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2020,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
2021,"Ukupna zvanična razvojna pomoć za biodiverzitet, po zemljama primateljima (u milijunima konstantnih američkih dolara iz 2023.)",Konstantni američki dolari,
