Year,SERIES,UNIT_MEASURE,Value
2020,Zemlje sa nacionalnim statističkim zakonodavstvom koje je sukladno Osnovnim principima zvanične statistike (1 = DA; 0 = NE),Broj,1
2022,Zemlje sa nacionalnim statističkim zakonodavstvom koje je sukladno Osnovnim principima zvanične statistike (1 = DA; 0 = NE),Broj,1
2023,Zemlje sa nacionalnim statističkim zakonodavstvom koje je sukladno Osnovnim principima zvanične statistike (1 = DA; 0 = NE),Broj,1
2024,Zemlje sa nacionalnim statističkim zakonodavstvom koje je sukladno Osnovnim principima zvanične statistike (1 = DA; 0 = NE),Broj,1
2025,Zemlje sa nacionalnim statističkim zakonodavstvom koje je sukladno Osnovnim principima zvanične statistike (1 = DA; 0 = NE),Broj,1
