Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,42.1
2001,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,44.5
2002,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,45.2
2003,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,45.1
2004,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,44.8
2005,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,44.5
2006,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,43.8
2007,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,42.3
2008,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,40.2
2009,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,37.9
2010,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,35.5
2011,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,32.9
2012,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,30.3
2013,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,27.8
2014,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,25.5
2015,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,23.2
2016,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,21.4
2017,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,20.0
2018,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,18.8
2019,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,17.9
2020,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,17.2
2021,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,16.7
2022,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,16.4
2023,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,16.3
2024,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Oba spola,16.5
2000,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,19.2
2001,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.2
2002,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.6
2003,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.6
2004,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.5
2005,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.3
2006,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,20.0
2007,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,19.2
2008,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,18.3¸
2009,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,17.2
2010,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,16.1
2011,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,14.9
2012,Djeca sa umjerenom ili ozbiljnom prekomjernom tjelesnom težinom (tisuće),Tisuće,Ispod 5 godina,Žene,13.7
