Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2018,VC_VAW_MARR,Postotak,15 godina i više,Žene,2.7
2018,VC_VAW_MARR,Postotak,15 do 49 godina,Žene,3.4
