Year,UNIT_MEASURE,Tip,Value
a)2019 Q1,Tone,Prеvеzеnо tоnа rоbe,442
b)2019 Q2,Tone,Prеvеzеnо tоnа rоbe,514
c)2019 Q3,Tone,Prеvеzеnо tоnа rоbe,737
d)2019 Q4,Tone,Prеvеzеnо tоnа rоbe,542
e)2020 Q1,Tone,Prеvеzеnо tоnа rоbe,423
f)2020 Q2,Tone,Prеvеzеnо tоnа rоbe,566
g)2020 Q3,Tone,Prеvеzеnо tоnа rоbe,963
h)2020 Q4,Tone,Prеvеzеnо tоnа rоbe,463
