Year,SERIES,UNIT_MEASURE,Godine,Value
2006,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,14.4788795230681
2007,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,19.4510064782245
2008,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,27.175175221066
2009,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,41.5721322515375
2010,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,34.2691709170218
2011,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,38.1452884856447
2012,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,41.4200229035952
2013,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,44.7029459829599
2014,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,47.0952066260908
2015,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,50.4287277323247
2016,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,51.114771932446
2017,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,52.6204037923617
2018,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,54.7117276421148
2019,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,57.3707007831101
2020,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,57.6303137575638
2021,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,58.499263908218
2022,Broj automatiziranih bankomata (ATM) na 100.000 odraslih stanovnika,Na 100 000 stanovnika,15 godina i više,60.0496090418073
2005,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,24.9828975645487
2006,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,25.9854687375388
2007,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.6071045172364
2008,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,32.0914388848104
2009,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,31.0487068919232
2010,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,30.7111695649813
2011,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,31.7665838387108
2012,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,31.6456717043823
2013,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,32.5142041323429
2014,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,33.4884568855933
2015,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,30.7451487831271
2016,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.5126956990909
2017,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.7464270950973
2018,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.9150723201196
2019,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.5599037571512
2020,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.7183978135194
2021,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,30.0042293386744
2022,Broj filijala komercijalnih banaka na 100 000 odraslih,Na 100 000 stanovnika,15 godina i više,29.4617259122237
