Year,SERIES,UNIT_MEASURE,Spol,Value
2019,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Postotak,Oba spola,77.2
2020,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Postotak,Oba spola,82.4
2021,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Postotak,Oba spola,84.2
2022,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Postotak,Oba spola,85.7
2023,"Udio pojedinaca koji posjeduju mobilni telefon, po spolu (%)",Postotak,Oba spola,87.9
