Year,SERIES,UNIT_MEASURE,Godine,Value
2009,SL_EMP_GTOTL,Postotak,15 godina i više,56.7
2010,SL_EMP_GTOTL,Postotak,15 godina i više,55.9
2011,SL_EMP_GTOTL,Postotak,15 godina i više,55.9
2014,SL_EMP_GTOTL,Postotak,15 godina i više,55.4
2015,SL_EMP_GTOTL,Postotak,15 godina i više,55.1
2016,SL_EMP_GTOTL,Postotak,15 godina i više,53.6
2017,SL_EMP_GTOTL,Postotak,15 godina i više,52.3
2018,SL_EMP_GTOTL,Postotak,15 godina i više,51.5
2019,SL_EMP_GTOTL,Postotak,15 godina i više,52.8
2021,SL_EMP_GTOTL,Postotak,15 godina i više,52.3
