Year,SERIES,Spol,UNIT_MEASUR,Value
2023,"Zemlje s najmanje jednim potvrđenim slučajem ubojstava branitelja ljudskih prava, novinara i sindikalista (1 = DA, 0 = NE)",Oba spola,NUMBER,0
2024,"Zemlje s najmanje jednim potvrđenim slučajem ubojstava branitelja ljudskih prava, novinara i sindikalista (1 = DA, 0 = NE)",Oba spola,NUMBER,0
2023,"Zemlje s barem jednim potvrđenim slučajem prisilnog nestanka branitelja ljudskih prava, novinara i sindikalista (1 = DA, 0 = NE)",Oba spola,NUMBER,0
2024,"Zemlje s barem jednim potvrđenim slučajem prisilnog nestanka branitelja ljudskih prava, novinara i sindikalista (1 = DA, 0 = NE)",Oba spola,NUMBER,0
