Year,UNIT_MEASURE,Tip,Value
a)Siječanj,Broj,Domaći turisti 2019,56765
b)Veljača,Broj,Domaći turisti 2019,55730
c)Ožujak,Broj,Domaći turisti 2019,66202
d)Travanj,Broj,Domaći turisti 2019,80856
e)Svibanj,Broj,Domaći turisti 2019,79316
f)Lipanj,Broj,Domaći turisti 2019,104676
g)Srpanj,Broj,Domaći turisti 2019,94123
h)Kolovoz,Broj,Domaći turisti 2019,97360
i)Rujan,Broj,Domaći turisti 2019,87541
j)Listopad,Broj,Domaći turisti 2019,86414
k)Studeni,Broj,Domaći turisti 2019,71485
l)Prosinac,Broj,Domaći turisti 2019,73433
a)Siječanj,Broj,Domaći turisti 2020,59641
b)Veljača,Broj,Domaći turisti 2020,58175
c)Ožujak,Broj,Domaći turisti 2020,33554
d)Travanj,Broj,Domaći turisti 2020,5541
e)Svibanj,Broj,Domaći turisti 2020,12043
f)Lipanj,Broj,Domaći turisti 2020,41580
g)Srpanj,Broj,Domaći turisti 2020,111824
h)Kolovoz,Broj,Domaći turisti 2020,156165
i)Rujan,Broj,Domaći turisti 2020,106510
j)Listopad,Broj,Domaći turisti 2020,71043
k)Studeni,Broj,Domaći turisti 2020,42256
l)Prosinac,Broj,Domaći turisti 2020,50737
a)Siječanj,Broj,Domaći turisti 2021,76322
b)Veljača,Broj,Domaći turisti 2021,67623
c)Ožujak,Broj,Domaći turisti 2021,58299
a)Siječanj,Broj,Strani turisti 2019,101438
b)Veljača,Broj,Strani turisti 2019,119941
c)Ožujak,Broj,Strani turisti 2019,131648
d)Travanj,Broj,Strani turisti 2019,206455
e)Svibanj,Broj,Strani turisti 2019,207250
f)Lipanj,Broj,Strani turisti 2019,245762
g)Srpanj,Broj,Strani turisti 2019,330273
h)Kolovoz,Broj,Strani turisti 2019,357593
i)Rujan,Broj,Strani turisti 2019,240968
j)Listopad,Broj,Strani turisti 2019,240286
k)Studeni,Broj,Strani turisti 2019,119201
l)Prosinac,Broj,Strani turisti 2019,119535
a)Siječanj,Broj,Strani turisti 2020,126406
b)Veljača,Broj,Strani turisti 2020,112174
c)Ožujak,Broj,Strani turisti 2020,38437
d)Travanj,Broj,Strani turisti 2020,2310
e)Svibanj,Broj,Strani turisti 2020,1670
f)Lipanj,Broj,Strani turisti 2020,13471
g)Srpanj,Broj,Strani turisti 2020,22763
h)Kolovoz,Broj,Strani turisti 2020,51555
i)Rujan,Broj,Strani turisti 2020,34695
j)Listopad,Broj,Strani turisti 2020,32422
k)Studeni,Broj,Strani turisti 2020,21795
l)Prosinac,Broj,Strani turisti 2020,30201
a)Siječanj,Broj,Strani turisti 2021,45509
b)Veljača,Broj,Strani turisti 2021,53100
c)Ožujak,Broj,Strani turisti 2021,40902
