Year,SERIES,UNIT_MEASURE,Spol,Value
2000,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,2.0
2005,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,1.9
2010,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,2.0
2015,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,2.1
2019,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,2.0
2020,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,2.0
2021,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola,1.9
2000,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.6
2005,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.5
2010,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.6
2015,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.7
2019,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.8
2020,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.8
2021,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Žene,1.8
2000,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.5
2005,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.4
2010,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.3
2015,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.3
2019,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.3
2020,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,2.2
2021,"Stopa smrtnosti uzrokovana nenamjernim trovanjem, po spolu (smrtni slučajevi na 100.000 stanovnika)",Na 100 000 stanovnika,Muškarci,1.9
