Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2000,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.3
2001,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.1
2002,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2003,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2004,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2005,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2006,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2007,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2008,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2009,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2010,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,21.9
2011,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.0
2012,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.1
2013,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.2
2014,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.4
2015,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.6
2016,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,22.8
2017,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,23.1
2018,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,23.4
2019,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,23.7
2020,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,24.1
2021,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,24.7
2022,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,25.3
2023,Udio žena starosti od 15-49 godina s anemijom (%),Postotak,15 do 49 godina,Žene,26.0
2000,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,22.1
2001,"Udio žena starosti od 15-49 godina s anemijom, koje nisu trudne (%)",Postotak,15 do 49 godina,Žene,21.9
