Year,SERIES,UNIT_MEASURE,Spol,Value
2014,SG_GEN_PARLN,Broj,Žene,9.0
2015,SG_GEN_PARLN,Broj,Žene,9.0
2016,SG_GEN_PARLN,Broj,Žene,9.0
2017,SG_GEN_PARLN,Broj,Žene,9.0
2018,SG_GEN_PARLN,Broj,Žene,9.0
2019,SG_GEN_PARLN,Broj,Žene,9.0
2020,SG_GEN_PARLN,Broj,Žene,9.0
2021,SG_GEN_PARLN,Broj,Žene,11.0
2022,SG_GEN_PARLN,Broj,Žene,11.0
2023,SG_GEN_PARLN,Broj,Žene,8.0
2024,SG_GEN_PARLN,Broj,Žene,8.0
2021,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2022,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2023,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2024,SG_GEN_PARLNT,Broj,Oba spola ili bez podjele po spolu,42.0
2017,SG_GEN_LOCGELS,Postotak,Žene,18.6
2021,SG_GEN_LOCGELS,Postotak,Žene,19.6
2014,SG_GEN_PARL,Postotak,Žene,21.43
2015,SG_GEN_PARL,Postotak,Žene,21.43
2016,SG_GEN_PARL,Postotak,Žene,21.43
2017,SG_GEN_PARL,Postotak,Žene,21.43
2018,SG_GEN_PARL,Postotak,Žene,21.43
2019,SG_GEN_PARL,Postotak,Žene,21.43
2020,SG_GEN_PARL,Postotak,Žene,21.43
2021,SG_GEN_PARL,Postotak,Žene,26.19
2022,SG_GEN_PARL,Postotak,Žene,26.19
2023,SG_GEN_PARL,Postotak,Žene,19.05
2024,SG_GEN_PARL,Postotak,Žene,19.05
