Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,0.13
2011,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,0.2
2012,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,0.22
2013,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,1.99
2014,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,2.64
2015,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,3.49
2016,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,5.63
2017,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,9.73
2018,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,10.03
2019,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,11.99
2020,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,13.79
2021,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,14.96
2022,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,17.48
2023,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,23.77
2024,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,10 Mbit/s ili više,25.52
2010,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,7.01
2011,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,3.51
2012,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,2.73
2013,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,2.32
2014,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,1.32
2015,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.91
2016,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.92
2017,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.81
2018,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.9
2019,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.98
2020,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.8
2021,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.75
2022,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.56
2023,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.69
2024,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,256 kbit/s do manje od 2 Mbit/s,0.65
2010,"Pretplate na fiksni širokopojasni pristup, po brzini (na 100 stanovnika)",Na 100 stanovnika,2 Mbit/s do manje od 10 Mbit/s,3.12
