Year,SERIES,UNIT_MEASURE,Spol,Value
2021,"Stopa smrtnosti zbog povreda u cestovnom saobraćaju, prema spolu (na 100.000 stanovnika)",Na 100 000 stanovnika,Oba spola ili bez podjele po spolu,13.7
2021,Broj smrtnih slučajeva zbog povreda u cestovnom saobraćaju,Broj,Oba spola ili bez podjele po spolu,447.0
