Year,SERIES,UNIT_MEASURE,Value
2018,Zemlje sa sistemima za praćenje i izdvajanje javnih sredstava za rodnu ravnopravnost i osnaživanje žena (0 = ne ispunjava zahtjev; 1 = pristupilo je zahtjevu; 2 = u potpunosti ispunjava zahtjev),Broj,1
2021,Zemlje sa sistemima za praćenje i izdvajanje javnih sredstava za rodnu ravnopravnost i osnaživanje žena (0 = ne ispunjava zahtjev; 1 = pristupilo je zahtjevu; 2 = u potpunosti ispunjava zahtjev),Broj,1
