Year,SERIES,UNIT_MEASURE,Privredna aktivnost,Value
2000,ER_H2O_WUEYST,USD/m3,Industrije,148.84
2005,ER_H2O_WUEYST,USD/m3,Industrije,67.7
2010,ER_H2O_WUEYST,USD/m3,Industrije,59.15
2011,ER_H2O_WUEYST,USD/m3,Industrije,44.81
2012,ER_H2O_WUEYST,USD/m3,Industrije,35.35
2013,ER_H2O_WUEYST,USD/m3,Industrije,35.17
2014,ER_H2O_WUEYST,USD/m3,Industrije,44.6
2015,ER_H2O_WUEYST,USD/m3,Industrije,47.83
2016,ER_H2O_WUEYST,USD/m3,Industrije,45.72
2017,ER_H2O_WUEYST,USD/m3,Industrije,46.06
2018,ER_H2O_WUEYST,USD/m3,Industrije,43.4
2019,ER_H2O_WUEYST,USD/m3,Industrije,72.34
2020,ER_H2O_WUEYST,USD/m3,Industrije,54.04
2021,ER_H2O_WUEYST,USD/m3,Industrije,64.54
2000,ER_H2O_WUEYST,USD/m3,Usluge (G do T),17.52
2005,ER_H2O_WUEYST,USD/m3,Usluge (G do T),21.77
2010,ER_H2O_WUEYST,USD/m3,Usluge (G do T),25.02
2011,ER_H2O_WUEYST,USD/m3,Usluge (G do T),25.92
2012,ER_H2O_WUEYST,USD/m3,Usluge (G do T),26.05
2013,ER_H2O_WUEYST,USD/m3,Usluge (G do T),26.93
2014,ER_H2O_WUEYST,USD/m3,Usluge (G do T),28.4
2016,ER_H2O_WUEYST,USD/m3,Usluge (G do T),28.81
2017,ER_H2O_WUEYST,USD/m3,Usluge (G do T),28.94
2018,ER_H2O_WUEYST,USD/m3,Usluge (G do T),33.87
2019,ER_H2O_WUEYST,USD/m3,Usluge (G do T),35.92
2020,ER_H2O_WUEYST,USD/m3,Usluge (G do T),35.11
2021,ER_H2O_WUEYST,USD/m3,Usluge (G do T),37.86
2020,ER_H2O_WUEYST,USD/m3,Poljoprivreda (ISIC4 A01 A0210 A0322),
2020,ER_H2O_WUEYST,USD/m3,Bez podjele,
