Year,SERIES,UNIT_MEASURE,Stupanj urbanizacije,Value
2017,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ukupno,31.2315
2018,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ukupno,31.7279
2019,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ukupno,26.025
2017,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Grad,40.1238
2018,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Grad,39.3003
2019,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Grad,32.3591
2017,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ruralno,28.3665
2018,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ruralno,29.0204
2019,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Ruralno,23.7731
2017,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Mjesto i poluzgusnosto područje,33.4398
2018,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Mjesto i poluzgusnosto područje,34.1962
2019,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Mjesto i poluzgusnosto područje,28.0478
2017,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Urbano,35.6002
2018,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Urbano,35.8449
2019,"Srednje godišnje razine finih čestica (ponderirano prema broju stanovnika), po lokaciji (mikrogrami po kubnom metru)",Mikrogrami po kubnom metru,Urbano,29.4394
