Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,SH_H2O_SAFE,PT,_T,87.35
2001,SH_H2O_SAFE,PT,_T,87.4727
2002,SH_H2O_SAFE,PT,_T,87.5946
2003,SH_H2O_SAFE,PT,_T,87.7156
2004,SH_H2O_SAFE,PT,_T,87.8357
2005,SH_H2O_SAFE,PT,_T,87.9548
2006,SH_H2O_SAFE,PT,_T,88.073
2007,SH_H2O_SAFE,PT,_T,88.1904
2008,SH_H2O_SAFE,PT,_T,88.3068
2009,SH_H2O_SAFE,PT,_T,88.4222
2010,SH_H2O_SAFE,PT,_T,88.5367
2011,SH_H2O_SAFE,PT,_T,88.6503
2012,SH_H2O_SAFE,PT,_T,88.7023
2013,SH_H2O_SAFE,PT,_T,88.7977
2014,SH_H2O_SAFE,PT,_T,88.8172
2015,SH_H2O_SAFE,PT,_T,88.8251
2016,SH_H2O_SAFE,PT,_T,88.8334
2017,SH_H2O_SAFE,PT,_T,88.8419
2018,SH_H2O_SAFE,PT,_T,88.8507
2019,SH_H2O_SAFE,PT,_T,88.723
2020,SH_H2O_SAFE,PT,_T,88.1389
2021,SH_H2O_SAFE,PT,_T,87.5548
2022,SH_H2O_SAFE,PT,_T,86.9707
