Year,SERIES,UNIT_MEASURE,AGE,SEX,URBANISATION,Value
2016,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2017,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2018,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2019,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2020,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2021,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2022,AG_PRD_FIESSN,THOUSANDS,Y_GE15,F,,100.0
2015,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2016,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2017,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2018,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2019,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2020,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2021,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2022,AG_PRD_FIESSN,THOUSANDS,Y_GE15,M,,100.0
2015,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2016,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2017,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2018,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2019,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2020,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
2021,AG_PRD_FIESSN,THOUSANDS,_T,_T,,103.1
2022,AG_PRD_FIESSN,THOUSANDS,_T,_T,,100.0
