Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_DYN_IMRTN,NUMBER,<1Y,_T,364.0
2001,SH_DYN_IMRTN,NUMBER,<1Y,_T,331.0
2002,SH_DYN_IMRTN,NUMBER,<1Y,_T,310.0
2003,SH_DYN_IMRTN,NUMBER,<1Y,_T,294.0
2004,SH_DYN_IMRTN,NUMBER,<1Y,_T,279.0
2005,SH_DYN_IMRTN,NUMBER,<1Y,_T,263.0
2006,SH_DYN_IMRTN,NUMBER,<1Y,_T,246.0
2007,SH_DYN_IMRTN,NUMBER,<1Y,_T,241.0
2008,SH_DYN_IMRTN,NUMBER,<1Y,_T,238.0
2009,SH_DYN_IMRTN,NUMBER,<1Y,_T,231.0
2010,SH_DYN_IMRTN,NUMBER,<1Y,_T,219.0
2011,SH_DYN_IMRTN,NUMBER,<1Y,_T,201.0
2012,SH_DYN_IMRTN,NUMBER,<1Y,_T,191.0
2013,SH_DYN_IMRTN,NUMBER,<1Y,_T,186.0
2014,SH_DYN_IMRTN,NUMBER,<1Y,_T,177.0
2015,SH_DYN_IMRTN,NUMBER,<1Y,_T,173.0
2016,SH_DYN_IMRTN,NUMBER,<1Y,_T,173.0
2017,SH_DYN_IMRTN,NUMBER,<1Y,_T,173.0
2018,SH_DYN_IMRTN,NUMBER,<1Y,_T,171.0
2019,SH_DYN_IMRTN,NUMBER,<1Y,_T,166.0
2020,SH_DYN_IMRTN,NUMBER,<1Y,_T,158.0
2021,SH_DYN_IMRTN,NUMBER,<1Y,_T,150.0
2022,SH_DYN_IMRTN,NUMBER,<1Y,_T,142.0
2000,SH_DYN_IMRTN,NUMBER,<1Y,F,156.0
2001,SH_DYN_IMRTN,NUMBER,<1Y,F,142.0
2002,SH_DYN_IMRTN,NUMBER,<1Y,F,133.0
2003,SH_DYN_IMRTN,NUMBER,<1Y,F,126.0
2004,SH_DYN_IMRTN,NUMBER,<1Y,F,120.0
2005,SH_DYN_IMRTN,NUMBER,<1Y,F,114.0
2006,SH_DYN_IMRTN,NUMBER,<1Y,F,106.0
2007,SH_DYN_IMRTN,NUMBER,<1Y,F,104.0
2008,SH_DYN_IMRTN,NUMBER,<1Y,F,103.0
2009,SH_DYN_IMRTN,NUMBER,<1Y,F,100.0
