Year,SERIES,UNIT_MEASURE,SEX,Value
2000,SH_STA_POISN,PER_100000_POP,BOTHSEX,2.0
2005,SH_STA_POISN,PER_100000_POP,BOTHSEX,1.9
2010,SH_STA_POISN,PER_100000_POP,BOTHSEX,2.0
2015,SH_STA_POISN,PER_100000_POP,BOTHSEX,2.1
2019,SH_STA_POISN,PER_100000_POP,BOTHSEX,2.0
2020,SH_STA_POISN,PER_100000_POP,BOTHSEX,2.0
2021,SH_STA_POISN,PER_100000_POP,BOTHSEX,1.9
2000,SH_STA_POISN,PER_100000_POP,F,1.6
2005,SH_STA_POISN,PER_100000_POP,F,1.5
2010,SH_STA_POISN,PER_100000_POP,F,1.6
2015,SH_STA_POISN,PER_100000_POP,F,1.7
2019,SH_STA_POISN,PER_100000_POP,F,1.8
2020,SH_STA_POISN,PER_100000_POP,F,1.8
2021,SH_STA_POISN,PER_100000_POP,F,1.8
2000,SH_STA_POISN,PER_100000_POP,M,2.5
2005,SH_STA_POISN,PER_100000_POP,M,2.4
2010,SH_STA_POISN,PER_100000_POP,M,2.3
2015,SH_STA_POISN,PER_100000_POP,M,2.3
2019,SH_STA_POISN,PER_100000_POP,M,2.3
2020,SH_STA_POISN,PER_100000_POP,M,2.2
2021,SH_STA_POISN,PER_100000_POP,M,1.9
