Year,SERIES,UNIT_MEASURE,SEX,Value
2010,VC_PRS_UNSNT,PT,_T,17.9
2011,VC_PRS_UNSNT,PT,_T,14.58
2012,VC_PRS_UNSNT,PT,_T,12.09
2013,VC_PRS_UNSNT,PT,_T,11.66
2014,VC_PRS_UNSNT,PT,_T,12.14
2015,VC_PRS_UNSNT,PT,_T,15.05
2016,VC_PRS_UNSNT,PT,_T,15.36
2017,VC_PRS_UNSNT,PT,_T,15.43
2018,VC_PRS_UNSNT,PT,_T,28.08
2019,VC_PRS_UNSNT,PT,_T,31.82
2020,VC_PRS_UNSNT,PT,_T,27.05
2021,VC_PRS_UNSNT,PT,_T,27.36
2019,VC_PRS_UNSNT,PT,F,50.46
2020,VC_PRS_UNSNT,PT,F,72.0
2021,VC_PRS_UNSNT,PT,F,32.61
2019,VC_PRS_UNSNT,PT,M,31.06
2020,VC_PRS_UNSNT,PT,M,39.23
2021,VC_PRS_UNSNT,PT,M,37.83
